# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,-0.056915,0,0.056915,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,20544,3776.9,17.596,0.027774,NaN,176.68,NaN,0.0048281,320359,200,0,0.9967,0,0.69233,0.18436,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.016172,0
0.01,0,0,19.414,0,19.414,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,20544,3776.9,17.596,0.027774,NaN,176.68,NaN,0.0049636,329349,600,0,0.99243,0,0.68806,0.18436,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.024541,0
0.02,9.71E-04,0.19416,34.63,0.19416,34.63,0,0,0,0,0,0,28.61,-80.6,9.7922,83.617,0,0,0,20542,3774.7,17.594,0.027773,NaN,176.67,NaN,0.0051309,340450,912.5,5.09E-05,0.98737,0.0032071,0.68301,0.18436,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.49E-05,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.028991,4.62E-04
0.03,0.0046442,0.54053,45.594,0.54053,45.594,0,0,0,0,0,0,28.61,-80.6,9.7922,73.124,0,0,0,20538,3770.7,17.592,0.02777,NaN,176.66,NaN,0.0054701,362961,1137.5,9.37E-04,0.97776,0.051925,0.6734,0.18436,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.92E-05,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.032628,0.0035792
0.04,0.01233,0.99659,57.785,0.99659,57.785,0,0,0,0,0,0,28.61,-80.6,9.7922,61.4,0,0,0,20532,3765,17.589,0.027766,NaN,176.64,NaN,0.0061163,405838,1387.5,0.0047881,0.96148,0.21231,0.65711,0.18437,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.28E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.03952,0.012167
0.05,0.025186,1.5746,71.206,1.5746,71.206,0,0,0,0,0,0,28.61,-80.6,9.7922,49.962,0,0,0,20525,3758,17.584,0.027761,NaN,176.61,NaN,0.007191,477147,1662.5,0.014782,0.93891,0.47418,0.63454,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.042637,0.030374
0.06,0.044493,2.287,85.252,2.287,85.252,0,0,0,0,0,0,28.61,-80.6,9.7922,39.509,0,0,0,20517,3749.5,17.579,0.027755,NaN,176.58,NaN,0.0087084,577826,1950,0.034588,0.91369,0.75657,0.60931,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.93E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.045597,0.064071
0.07,0.071627,3.1399,99.926,3.1399,99.926,0,0,0,0,0,0,28.61,-80.6,9.7922,31.148,0,0,0,20506,3739.5,17.573,0.027748,NaN,176.55,NaN,0.010778,715164,2250,0.066941,0.88732,0.95585,0.58294,0.18437,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.02E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.048585,0.12077
0.08,0.10802,4.1396,106.12,4.1396,106.12,0,0,0,0,0,0,28.61,-80.6,9.7922,24.763,0,0,0,20495,3727.9,17.566,0.02774,NaN,176.51,NaN,0.013393,888657,2375.7,0.1141,0.86219,1.0552,0.5578,0.18437,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.30E-04,10.4,84.949,90,0,NaN,14.999,1013.2,340.39,0.01,0.051421,0.20992
0.09,0.15473,5.2014,103.81,5.2014,103.81,0,0,0,0,0,0,28.61,-80.6,9.7922,20.274,0,0,0,20483,3715.9,17.559,0.027731,NaN,176.46,NaN,0.01629,1080873,2327.1,0.17289,0.84091,1.0808,0.5365,0.18438,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.66E-04,10.4,84.949,90,0,NaN,14.999,1013.2,340.39,0.01,0.056588,0.33141
