# FRR Simulation (Up to date)
# 442 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,21.832,0,21.916,0,0,0,0,0,1.9101,45,0,9.805,85,0,0,0,20814,1732.5,28.635,0.12223,NaN,215.65,NaN,0.010303,851721,659.48,1.5494e-4,0.67881,0.0010759,0.52098,0.037823,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.020439
0.01,0.0010916,0.21832,63.926,0.21916,64.171,9.5505e-5,0,9.5505e-5,0,0.019101,5.5928,45,0,9.805,81.477,0,0,0,20814,1732.5,28.635,0.12223,NaN,215.65,NaN,0.010427,861969,1539,7.5603e-4,0.67881,0.005126,0.52098,0.037823,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2687e-5,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.02875
0.02,0.0064719,0.85776,62.662,0.86104,62.901,5.6622e-4,0,5.6622e-4,0,0.075045,5.4822,45,7.2013e-9,9.805,71.664,0,0,0,20808,1726.5,28.627,0.12223,NaN,215.62,NaN,0.010914,902225,1512.1,0.0073357,0.67881,0.045398,0.52098,0.037823,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9132e-5,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.038267
0.03,0.018184,1.4846,60.088,1.4903,60.317,0.0015909,0,0.0015909,0,0.12989,5.257,45,2.0233e-8,9.805,63.082,0,0,0,20801,1718.5,28.617,0.12223,NaN,215.57,NaN,0.011672,964932,1457.8,0.023664,0.67882,0.12803,0.52097,0.037824,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5427e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.046897
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.036035,2.0857,57.512,2.0937,57.732,0.0031526,0,0.0031526,0,0.18248,5.0317,45,4.0096e-8,9.805,55.974,0,0,0,20792,1710.2,28.606,0.12223,NaN,215.53,NaN,0.012616,1042917,1403.5,0.050197,0.67882,0.23249,0.52097,0.037824,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1673e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.058485
0.05,0.059769,2.6611,55.642,2.6712,55.855,0.0052291,0,0.0052291,0,0.23281,4.868,45,6.6505e-8,9.805,50.177,0,0,0,20784,1701.9,28.594,0.12222,NaN,215.48,NaN,0.013676,1130587,1364,0.085912,0.67882,0.33858,0.52097,0.037824,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7652e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.065654
0.06,0.089162,3.2177,55.229,3.23,55.44,0.0078007,0,0.0078007,0,0.28151,4.8319,45,9.9211e-8,9.805,45.161,0,0,0,20776,1693.9,28.584,0.12222,NaN,215.44,NaN,0.01474,1218559,1354.9,0.13004,0.67882,0.44118,0.52097,0.037825,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3436e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.07522
0.07,0.1241,3.7701,54.858,3.7845,55.067,0.010857,0,0.010857,0,0.32984,4.7994,45,1.3809e-7,9.805,40.877,0,0,0,20768,1686.4,28.574,0.12222,NaN,215.4,NaN,0.015893,1313820,1346.7,0.18255,0.67883,0.53276,0.52097,0.037825,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9176e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.09009
0.08,0.16455,4.3189,54.486,4.3354,54.694,0.014396,0,0.014396,0,0.37785,4.7669,45,1.8309e-7,9.805,37.211,0,0,0,20761,1679,28.564,0.12221,NaN,215.36,NaN,0.017113,1414695,1338.5,0.24269,0.67883,0.61087,0.52097,0.037826,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4879e-4,15.672,192.9,85,0,NaN,15.584,1004.1,340.74,0.01,0.097078
0.09,0.21046,4.8639,54.113,4.8825,54.32,0.018413,0,0.018413,0,0.42554,4.7343,45,2.3418e-7,9.805,34.064,0,0,0,20753,1671.5,28.554,0.12221,NaN,215.32,NaN,0.018385,1519827,1330.4,0.3097,0.67883,0.67543,0.52096,0.037827,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0542e-4,15.672,192.9,85,0,NaN,15.583,1004.1,340.74,0.01,0.11062
0.1,0.26181,5.4052,53.74,5.4259,53.945,0.022905,0,0.022905,0,0.4729,4.7017,45,2.9131e-7,9.805,31.348,0,0,0,20746,1664,28.544,0.12221,NaN,215.27,NaN,0.019695,1628170,1322.2,0.38288,0.67884,0.7276,0.52096,0.037827,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6167e-4,15.672,192.9,85,0,NaN,15.583,1004.1,340.74,0.01,0.12308
