# Green River (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1133 data points written for 55 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0.63433,0,0.63433,0,0,0,0,0,0,45,0,9.8022,90,0,0,0,20714,3588.6,17.224,0.027894,NaN,175.29,NaN,0.0094954,561973,216.18,0,0.91726,0,0.61288,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.0093432,0
0.01,3.17E-05,0.0063433,21.507,0.0063433,21.507,0,0,0,0,0,0,45,0,9.8022,89.892,0,0,0,20714,3588.6,17.224,0.027894,NaN,175.29,NaN,0.0094633,560069,648.53,0,0.9177,1.55E-08,0.61332,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.54E-07,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.012525,4.49E-07
0.02,0.0011707,0.22145,42.223,0.22145,42.223,0,0,0,0,0,0,45,0,9.8022,86.214,0,0,0,20711,3585.7,17.223,0.027892,NaN,175.28,NaN,0.0094517,559384,1077.5,3.42E-05,0.91786,6.40E-04,0.61348,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.28E-05,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.016932,5.48E-04
0.03,0.0054966,0.64376,57.532,0.64376,57.532,0,0,0,0,0,0,45,0,9.8022,79.074,0,0,0,20707,3582.3,17.221,0.027889,NaN,175.27,NaN,0.0095724,566526,1394.3,7.76E-04,0.91622,0.014179,0.61184,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64E-05,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.020721,0.0046292
0.04,0.014811,1.2192,70.229,1.2192,70.229,0,0,0,0,0,0,45,0,9.8022,69.855,0,0,0,20702,3576.6,17.218,0.027885,NaN,175.25,NaN,0.009977,590476,1656.8,0.0046941,0.91093,0.078947,0.60655,0.18437,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.26E-04,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.02304,0.016605
0.05,0.030516,1.9218,82.883,1.9218,82.883,0,0,0,0,0,0,45,0,9.8022,59.877,0,0,0,20694,3568.9,17.214,0.02788,NaN,175.23,NaN,0.010792,638705,1918,0.015816,0.90109,0.22734,0.5967,0.18437,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98E-04,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.026612,0.041254
0.06,0.053879,2.7509,88.639,2.7509,88.639,0,0,0,0,0,0,45,0,9.8022,50.551,0,0,0,20686,3561.1,17.209,0.027874,NaN,175.2,NaN,0.012202,722133,2036.4,0.038459,0.88617,0.43246,0.58178,0.18437,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.84E-04,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.031902,0.084529
0.07,0.085821,3.6376,89.662,3.6376,89.662,0,0,0,0,0,0,45,0,9.8022,42.849,0,0,0,20677,3552.1,17.205,0.027868,NaN,175.17,NaN,0.013983,827577,2056.7,0.073431,0.87026,0.6287,0.56586,0.18438,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75E-04,10.4,84.949,90,0,NaN,38.827,1000.3,354.83,0.01,0.03657,0.14781
0.08,0.12668,4.5346,90.691,4.5346,90.691,0,0,0,0,0,0,45,0,9.8022,36.905,0,0,0,20667,3542,17.199,0.027861,NaN,175.14,NaN,0.015982,945877,2077,0.11867,0.85528,0.77775,0.55087,0.18438,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.68E-04,10.4,84.949,90,0,NaN,38.826,1000.3,354.83,0.01,0.039604,0.22969
0.09,0.17656,5.4419,91.721,5.4419,91.721,0,0,0,0,0,0,45,0,9.8022,32.271,0,0,0,20657,3531.8,17.194,0.027854,NaN,175.1,NaN,0.018139,1073509,2097.3,0.17308,0.84164,0.8807,0.53722,0.18438,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.61E-04,10.4,84.949,90,0,NaN,38.826,1000.3,354.83,0.01,0.055221,0.3308
