Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5069478900560507101707914610,0.506947890056051,0.493630664122903,0.506947890056051,0.493630664122903,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,600578.8
0.02,0,0.5783070532104478439678531895,0.578307053210448,0.5649898272773,0.578307053210448,0.5649898272773,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,1201158
0.03,0,0.5933271516200088753612651621,0.593327151620009,0.580009925686861,0.593327151620009,0.580009925686861,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,1801736
0.04,0,0.5966700526563332336294266558,0.596670052656333,0.583352826723185,0.596670052656333,0.583352826723185,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,2402315
0.05,0,0.5963501204866196223407621827,0.59635012048662,0.583032894553472,0.59635012048662,0.583032894553472,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,3002894
0.06,0,0.5946782914302876968183361711,0.594678291430288,0.58136106549714,0.594678291430288,0.58136106549714,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,3603472
0.07,0,0.5924963400935214694912695776,0.592496340093522,0.579179114160374,0.592496340093522,0.579179114160374,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,4204052
0.08,0,0.5901540376713714807566815347,0.590154037671372,0.576836811738224,0.590154037671372,0.576836811738224,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,4804630
0.09,0,0.5878077136163018873014979051,0.587807713616302,0.574490487683154,0.587807713616302,0.574490487683154,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,5405209
0.10,0,0.5855291517498869040087894617,0.585529151749887,0.572211925816739,0.585529151749887,0.572211925816739,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,6005788
0.11,0,0.5833504555178526102116352204,0.583350455517853,0.570033229584705,0.583350455517853,0.570033229584705,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,6606366
0.12,0,0.5812842281770933874336773458,0.581284228177093,0.567967002243946,0.581284228177093,0.567967002243946,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,7206945
0.13,0,0.5793332740527076039579317609,0.579333274052708,0.56601604811956,0.579333274052708,0.56601604811956,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,7807524
0.14,0,0.5774954625656427706458597718,0.577495462565643,0.564178236632495,0.577495462565643,0.564178236632495,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,8408103
0.15,0,0.5757662645129520240371422047,0.575766264512952,0.562449038579804,0.575766264512952,0.562449038579804,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,9008682
0.16,0,0.5741401381356259259873646971,0.574140138135626,0.560822912202478,0.574140138135626,0.560822912202478,0,0,0,0,8.33696163942349,74.711216290540286482599634118,74.711216290540286482599634118,9609260
