Time (sec),Stage,Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4778177,0,294.1329,40.06,0,0,204.199107479105,203.158489090757,20.5889243435338,12.5909805857111,2.031585,0.2058892,85,85,0.01015793,0.001029446
0.02,S,0.02,0.01108701,0,0.475056,0,508.373,40.05328,0.006618824,0,376.319477200246,374.632662447088,35.5909700355642,14.0271682229387,5.777911,0.5617989,85,85,0.0492054,0.004867886
0.03,S,0.03,0.01235165,0,0.4932972,0,445.9975,40.03345,0.008530317,0,326.39197751472,324.893559818658,31.239362578801,15.9042359929387,9.026847,0.8741925,85,85,0.1232292,0.01204784
0.04,S,0.04,0.01400451,0,0.5118862,0,446.991,40.01173,0.01137927,0,327.383131664064,325.880978638874,31.3257507418371,18.1851617134609,12.28566,1.18745,85,85,0.2297917,0.02235606
0.05,S,0.05,0.01601299,0,0.528703,0,447.9846,39.99115,0.01536598,0,328.36420102637,326.858350503487,31.4112594753231,20.7417137418369,15.55424,1.501563,85,85,0.3689912,0.03580112
0.05999999,S,0.05999999,0.01826418,0,0.5424065,0,448.9782,39.97052,0.02050815,0,329.345798189021,327.836247938696,31.4968144776813,23.4881695758534,18.8326,1.816531,85,85,0.5409254,0.05239159
0.06999999,S,0.06999999,0.02068259,0,0.5530601,0,449.9719,39.94985,0.02681518,0,330.327937522513,328.814685288106,31.5824167340154,26.3689368325562,22.12075,2.132355,85,85,0.7456922,0.07213601
0.07999999,S,0.07999999,0.02321928,0,0.5611776,0,450.9656,39.92913,0.03429199,0,331.31058747152,329.793631142622,31.6680632260287,29.3478046960689,25.41869,2.449036,85,85,0.9833894,0.09504297
0.08999999,S,0.08999999,0.02584235,0,0.5673116,0,451.9594,39.90837,0.04294147,0,332.293813488688,330.773150658192,31.7537601947844,32.400738727954,28.72642,2.766573,85,85,1.254115,0.121121
0.09999999,S,0.09999999,0.02853065,0,0.5719286,0,452.9532,39.88756,0.05276576,0,333.277564845987,331.753193350872,31.8395026840905,35.5114086610999,32.04395,3.084968,85,85,1.557967,0.1503787
0.11,S,0.11,0.0312698,0,0.5753914,0,453.947,39.8667,0.06376696,0,334.261873138725,332.733790646965,31.9252939831495,38.6684351297348,35.37129,3.404221,85,85,1.895043,0.1828247
0.12,S,0.12,0.03404978,0,0.5779735,0,454.9409,39.84579,0.07594746,0,335.246701140899,333.714905513815,32.011130310577,41.8636902219785,38.70844,3.724332,85,85,2.265441,0.2184674
0.13,S,0.13,0.03686344,0,0.5798795,0,455.9348,39.82484,0.08930998,0,336.232115346444,334.696604144554,32.0970179993074,45.0912440716978,42.0554,4.045302,85,85,2.669261,0.2573156
0.14,S,0.14,0.03970554,0,0.5812623,0,456.9289,39.80385,0.1038577,0,337.218052865043,335.678823938982,32.1829510305184,48.3467017522438,45.41219,4.367131,85,85,3.106598,0.2993778
