Time (sec),Stage,Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4771314,0,293.7766,40.06,0,0,203.913004197374,202.873447602859,20.5639864454374,12.5902748456126,2.028734,0.2056399,85,85,0.01014367,0.001028199
0.02,S,0.02,0.01108639,0,0.4766018,0,508.0168,40.05328,0.006699684,0,376.033266382525,374.347532825827,35.5660244267978,14.0243660234087,5.772209,0.5613002,85,85,0.04914838,0.0048629
0.03,S,0.03,0.01234918,0,0.4946541,0,445.6413,40.03345,0.008627714,0,326.105638790225,324.608300162256,31.2144055934342,15.8987657921466,9.018292,0.8734443,85,85,0.1231009,0.01203662
0.04,S,0.04,0.01399969,0,0.5130322,0,446.6348,40.01173,0.01150001,0,327.096594132333,325.595520988215,31.3007764342179,18.176719091657,12.27425,1.186452,85,85,0.2295636,0.0223361
0.05,S,0.05,0.01600556,0,0.5296464,0,447.6284,39.99115,0.01551824,0,328.077466081124,326.572696245913,31.3862679668282,20.7301962744387,15.53998,1.500315,85,85,0.3686348,0.03576994
0.05999999,S,0.05999999,0.01825404,0,0.5431755,0,448.622,39.97052,0.0207,0,329.058907909576,327.550438994479,31.4718094358592,23.4735574662872,18.81549,1.815033,85,85,0.5404121,0.05234668
0.06999999,S,0.06999999,0.02066972,0,0.5536851,0,449.6156,39.94985,0.02705464,0,330.040860381426,328.528690248189,31.5573954109296,26.3512343187782,22.10078,2.130607,85,85,0.7449934,0.07207488
0.07999999,S,0.07999999,0.02320369,0,0.5616851,0,450.6093,39.92913,0.03458704,0,331.023316547315,329.507443111185,31.6430250183733,29.3270250115713,25.39585,2.447037,85,85,0.9824766,0.0949631
0.08999999,S,0.08999999,0.02582405,0,0.5677232,0,451.6031,39.90837,0.04330002,0,332.006341840262,330.486762719871,31.7287044975434,32.3769144222217,28.70072,2.764324,85,85,1.252959,0.1210199
0.09999999,S,0.09999999,0.02850967,0,0.5722612,0,452.5969,39.88756,0.05319579,0,332.989860875386,331.466574026419,31.8144267431866,35.4845522607536,32.01538,3.082468,85,85,1.55654,0.1502539
0.11,S,0.11,0.03124615,0,0.5756584,0,453.5908,39.8667,0.0642764,0,333.974003741832,332.447006579651,31.9002036291133,38.6385656584328,35.33985,3.40147,85,85,1.893316,0.1826735
0.12,S,0.12,0.03402348,0,0.5781854,0,454.5847,39.84579,0.07654428,0,334.958585463889,333.42787615424,31.9860184962492,41.8308239972715,38.67413,3.72133,85,85,2.263386,0.2182875
0.13,S,0.13,0.03683449,0,0.5800447,0,455.5786,39.82484,0.09000221,0,335.943795597023,334.409371540889,32.0718884034265,45.0553950499182,42.01822,4.042049,85,85,2.666848,0.2571044
0.14,S,0.14,0.03967397,0,0.5813877,0,456.5726,39.80385,0.1046533,0,336.929472717618,335.391331977627,32.1577987437804,48.3078721347746,45.37213,4.363627,85,85,3.103799,0.2991328
