# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.39,0,25.39,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0057417,340616,639.11,0,0.8161,0,0.59135,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.0047531,0
0.01,0.0012695,0.2539,93.963,0.2539,93.963,0,0,0,0,0,0,28.61,-80.6,9.7922,82.594,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0057867,343286,1884.8,8.10E-05,0.81507,0.0040889,0.59033,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25E-05,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.0058544,7.90E-04
0.02,0.0085077,1.1938,103.88,1.1938,103.88,0,0,0,0,0,0,28.61,-80.6,9.7922,58.553,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.0067225,398802,2064.3,0.0059848,0.79592,0.22396,0.57117,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53E-04,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.0066621,0.017458
0.03,0.025641,2.233,97.962,2.233,97.962,0,0,0,0,0,0,28.61,-80.6,9.7922,41.145,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.0087116,516797,1956,0.026649,0.76493,0.59384,0.54018,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.86E-04,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.0075136,0.061084
0.04,0.052872,3.2131,98.262,3.2131,98.262,0,0,0,0,0,0,28.61,-80.6,9.7922,31.253,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.011042,655036,1960.4,0.057223,0.73875,0.79372,0.51399,0.10474,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.11E-04,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.0082781,0.12647
0.05,0.089918,4.1962,98.56,4.1962,98.56,0,0,0,0,0,0,28.61,-80.6,9.7922,24.912,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.013592,806335,1964.8,0.095691,0.71733,0.87592,0.49256,0.10475,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.37E-04,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.0090053,0.2157
0.06,0.13681,5.1823,98.857,5.1823,98.857,0,0,0,0,0,0,28.61,-80.6,9.7922,20.845,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.016291,966410,1969.2,0.14054,0.69975,0.89558,0.47497,0.10475,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64E-04,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.009766,0.32898
0.07,0.19358,6.1713,99.155,6.1713,99.155,0,0,0,0,0,0,28.61,-80.6,9.7922,17.935,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.019056,1130456,1973.6,0.19111,0.68528,0.89,0.46048,0.10475,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90E-04,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.010507,0.46653
0.08,0.26025,7.1633,99.453,7.1633,99.453,0,0,0,0,0,0,28.61,-80.6,9.7922,15.761,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.021867,1297172,1978,0.24654,0.67313,0.87201,0.4483,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.17E-04,10.3,83.323,90,0,NaN,14.998,1013.2,340.39,0.01,0.011199,0.62857
0.09,0.33686,8.1583,99.751,8.1583,99.751,0,0,0,0,0,0,28.61,-80.6,9.7922,14.079,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.02471,1465831,1982.5,0.30542,0.66273,0.84596,0.43789,0.10477,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010445,10.3,83.323,90,0,NaN,14.998,1013.2,340.39,0.01,0.011977,0.81531
