# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.393,0,25.393,0,0,0,0,0,0,28.61,-80.6,9.7884,90,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0048104,269655,639.11,0,0.84802,0,0.62327,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,90,0,NaN,23.957,995.71,345.82,0.01,0.01267,0
0.01,0.0012697,0.25393,93.966,0.25393,93.966,0,0,0,0,0,0,28.61,-80.6,9.7884,81.406,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0049137,275443,1884.8,9.18E-05,0.84501,0.0065374,0.62027,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25E-05,10.3,83.323,90,0,NaN,23.957,995.71,345.82,0.01,0.017429,7.53E-04
0.02,0.0085085,1.1939,103.88,1.1939,103.88,0,0,0,0,0,0,28.61,-80.6,9.7884,54.869,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.0059994,336307,2064.3,0.0063414,0.81777,0.30289,0.59303,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53E-04,10.3,83.323,90,0,NaN,23.957,995.7,345.82,0.01,0.020975,0.016641
0.03,0.025643,2.2331,97.966,2.2331,97.966,0,0,0,0,0,0,28.61,-80.6,9.7884,37.498,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.0081394,456262,1956,0.026765,0.7795,0.69455,0.55475,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.86E-04,10.3,83.323,90,0,NaN,23.957,995.7,345.82,0.01,0.024434,0.058223
0.04,0.052875,3.2133,98.266,3.2133,98.266,0,0,0,0,0,0,28.61,-80.6,9.7884,28.298,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.010553,591562,1960.4,0.055829,0.74977,0.86185,0.52501,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.11E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.026908,0.12055
0.05,0.089923,4.1964,98.564,4.1964,98.564,0,0,0,0,0,0,28.61,-80.6,9.7884,22.599,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.013144,736797,1964.8,0.091888,0.72646,0.91438,0.50169,0.10475,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.37E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.029818,0.20559
0.06,0.13682,5.1825,98.862,5.1825,98.862,0,0,0,0,0,0,28.61,-80.6,9.7884,18.474,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.0158,885710,1969.2,0.13336,0.7081,0.91834,0.48332,0.10475,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.032781,0.31357
0.07,0.19359,6.1716,99.16,6.1716,99.16,0,0,0,0,0,0,28.61,-80.6,9.7884,15.54,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.018523,1038350,1973.6,0.17895,0.69304,0.89662,0.46825,0.10475,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90E-04,10.3,83.323,90,0,NaN,23.956,995.69,345.82,0.01,0.038099,0.44468
0.08,0.26026,7.1636,99.458,7.1636,99.458,0,0,0,0,0,0,28.61,-80.6,9.7884,13.356,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.021291,1193483,1978,0.22688,0.68043,0.86045,0.45562,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.17E-04,10.3,83.323,90,0,NaN,23.956,995.69,345.82,0.01,0.050353,0.59913
0.09,0.33687,8.1587,99.757,8.1587,99.757,0,0,0,0,0,0,28.61,-80.6,9.7884,11.673,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.024091,1350421,1982.5,0.27808,0.66967,0.82376,0.44483,0.10476,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010446,10.3,83.323,90,0,NaN,23.955,995.69,345.82,0.01,0.05214,0.77713
0.1,0.42345,9.1567,100.06,9.1567,100.06,0,0,0,0,0,0,28.61,-80.6,9.7884,10.338,0,0,0,18085,2582.6,13.113,0.028505,NaN,158.65,NaN,0.026915,1508757,1986.9,0.33332,0.66034,0.79102,0.43548,0.10477,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011724,10.3,83.323,90,0,NaN,23.955,995.68,345.82,0.01,0.054169,0.97888
0.11,0.52002,10.158,100.35,10.158,100.35,0,0,0,0,0,0,28.61,-80.6,9.7884,9.3826,0,0,0,18076,2573.2,13.109,0.028499,NaN,158.62,NaN,0.029772,1668846,1991.3,0.39445,0.65211,0.76511,0.42722,0.10478,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013005,10.3,83.323,90,0,NaN,23.954,995.67,345.82,0.0098447,0.057587,1.2046
0.11984,0.62489,11.146,100.65,11.146,100.65,0,0,0,0,0,0,28.61,-80.6,9.7884,8.6037,0,0,0,18066,2563.8,13.104,0.028492,NaN,158.58,NaN,0.032598,1827291,1995.4,0.4595,0.64491,0.74342,0.41999,0.10479,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014271,10.3,83.323,90,0,NaN,23.954,995.67,345.82,0.0089717,0.065574,1.4504
0.12882,0.72894,12.049,100.91,12.049,100.91,0,0,0,0,0,0,28.61,-80.6,9.7884,8.0013,0,0,0,18058,2554.9,13.1,0.028486,NaN,158.55,NaN,0.035186,1972340,1999.2,0.52311,0.639,0.72642,0.41404,0.10479,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015427,10.3,83.323,90,0,NaN,23.954,995.66,345.81,0.0082992,0.070428,1.695
0.13712,0.83241,12.887,101.15,12.887,101.15,0,0,0,0,0,0,28.61,-80.6,9.7884,7.5168,0,0,0,18049,2546.7,13.095,0.02848,NaN,158.52,NaN,0.037589,2107027,2002.8,0.58568,0.63398,0.71265,0.409,0.1048,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00165,10.3,83.323,90,0,NaN,23.953,995.66,345.81,0.0077597,0.073338,1.9389
