# Time ,Altitude ,Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch ,Position North of launch ,Lateral distance ,Lateral direction ,Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude ,Longitude ,Gravitational acceleration (m/s²),Angle of attack ,Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass ,Propellant mass ,Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location,CG location (cm),Stability margin calibers ,Mach number ,Reynolds number ,Thrust ,Drag force ,Drag coefficient ,Axial drag coefficient ,Friction drag coefficient ,Pressure drag coefficient ,Base drag coefficient ,Normal force coefficient ,Pitch moment coefficient ,Yaw moment coefficient ,Side force coefficient ,Roll moment coefficient ,Roll forcing coefficient ,Roll damping coefficient ,Pitch damping coefficient ,Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) ,Lateral orientation (azimuth) ,Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step ,Computation time ,Dynamic Pressure (mbar)
0.00,0.00,0.00,25.39,0.00,25.39,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,0.00,158.95,0.00,0.00,0.00,639.11,0.00,1.82,1.82,1.60,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.01,0.00
0.01,0.00,0.25,93.97,0.25,93.97,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,0.00,158.95,0.00,0.00,37844.00,1884.80,0.00,1.26,1.26,1.03,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.00
0.02,0.01,1.19,103.88,1.19,103.88,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18160.00,2657.30,13.15,0.03,0.00,158.93,0.00,0.00,177923.00,2064.30,0.01,0.91,0.91,0.69,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.02
0.03,0.03,2.23,97.97,2.23,97.97,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18152.00,2649.10,13.15,0.03,0.00,158.90,0.00,0.01,332804.00,1956.00,0.02,0.82,0.82,0.59,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.06
0.04,0.05,3.21,98.27,3.21,98.27,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18142.00,2639.40,13.14,0.03,0.00,158.87,0.00,0.01,478873.00,1960.40,0.04,0.77,0.77,0.55,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.03,0.12
0.05,0.09,4.20,98.57,4.20,98.57,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18133.00,2629.90,13.14,0.03,0.00,158.83,0.00,0.01,625388.00,1964.80,0.06,0.74,0.74,0.52,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.03,0.20
0.06,0.14,5.18,98.86,5.18,98.86,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18123.00,2620.40,13.13,0.03,0.00,158.79,0.00,0.01,772347.00,1969.20,0.09,0.72,0.72,0.50,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.04,0.30
0.07,0.19,6.17,99.16,6.17,99.16,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18114.00,2611.00,13.13,0.03,0.00,158.76,0.00,0.02,919751.00,1973.60,0.12,0.70,0.70,0.48,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.32,354.79,0.01,0.05,0.43
0.08,0.26,7.16,99.46,7.16,99.46,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18104.00,2601.50,13.12,0.03,0.00,158.72,0.00,0.02,1067599.00,1978.00,0.16,0.69,0.69,0.47,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.32,354.79,0.01,0.05,0.57
0.09,0.34,8.16,99.76,8.16,99.76,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18095.00,2592.10,13.12,0.03,0.00,158.69,0.00,0.02,1215892.00,1982.50,0.21,0.68,0.68,0.45,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.31,354.79,0.01,0.05,0.74
0.10,0.42,9.16,100.06,9.16,100.06,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18085.00,2582.60,13.11,0.03,0.00,158.65,0.00,0.03,1364629.00,1986.90,0.26,0.67,0.67,0.44,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.31,354.79,0.01,0.06,0.94
0.11,0.52,10.16,100.36,10.16,100.36,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18076.00,2573.20,13.11,0.03,0.00,158.62,0.00,0.03,1513810.00,1991.30,0.32,0.66,0.66,0.44,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.30,354.79,0.01,0.06,1.15
0.12,0.62,11.15,100.65,11.15,100.65,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18066.00,2563.80,13.10,0.03,0.00,158.58,0.00,0.03,1661107.00,1995.40,0.38,0.65,0.65,0.43,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.30,354.79,0.01,0.06,1.39
0.13,0.73,12.05,100.91,12.05,100.91,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18058.00,2554.90,13.10,0.03,0.00,158.55,0.00,0.03,1795719.00,1999.20,0.44,0.65,0.65,0.42,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.29,354.79,0.01,0.07,1.62
0.14,0.83,12.89,101.15,12.89,101.15,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18049.00,2546.70,13.10,0.03,0.00,158.52,0.00,0.04,1920558.00,2002.80,0.50,0.64,0.64,0.42,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.29,354.79,0.01,0.07,1.85
0.14,0.94,13.67,101.38,13.67,101.38,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18042.00,2539.10,13.09,0.03,0.00,158.49,0.00,0.04,2037559.00,2006.10,0.55,0.64,0.64,0.41,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.28,354.79,0.01,0.07,2.09
0.15,1.04,14.41,101.57,14.41,101.57,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18035.00,2532.00,13.09,0.03,189.74,158.46,3.04,0.04,2148087.00,2009.20,0.61,0.63,0.63,0.41,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.28,354.79,0.01,0.08,2.32
0.16,1.20,15.53,101.71,15.53,101.71,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18026.00,2523.20,13.08,0.03,189.74,158.43,3.04,0.04,2314226.00,2010.90,0.70,0.63,0.63,0.40,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.27,354.79,0.02,0.11,2.69
0.18,1.47,17.20,101.91,17.20,101.91,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18012.00,2509.80,13.08,0.03,189.74,158.38,3.05,0.05,2563842.00,2013.30,0.85,0.62,0.62,0.39,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.25,354.79,0.02,0.11,3.30
0.20,1.93,19.72,102.21,19.72,102.21,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17992.00,2489.50,13.07,0.03,189.75,158.30,3.05,0.06,2939139.00,2016.90,1.10,0.61,0.61,0.38,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.23,354.78,0.04,0.12,4.34
