# Worst Case (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1039 data points written for 58 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Listeners modified the flight simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Stage began to tumble under thrust.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Recovery device deployment at high speed (51.2 m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Corrective Moment Coefficient (Nm),Damping moment coefficient (?),Dynamic Pressure (mbar),Natural Frequency ()
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,0.00,25.15,0.00,25.54,0.00,0.00,0.00,0.00,0.00,4.44,28.61,-80.60,9.79,80.00,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,NaN,158.95,NaN,0.03,1541912.00,639.11,0.00,0.66,0.01,0.43,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.01,NaN,NaN,0.00,NaN
0.01,0.00,0.25,92.69,0.26,94.12,0.00,0.00,0.00,0.00,0.04,16.34,28.61,-80.60,9.79,78.41,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,NaN,158.95,NaN,0.03,1562406.00,1884.80,0.00,0.66,0.01,0.43,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.02,NaN,NaN,0.00,NaN
0.02,0.01,1.18,102.45,1.20,104.03,0.00,0.00,0.00,0.00,0.21,18.07,28.61,-80.60,9.79,72.76,0.00,0.00,0.00,18160.00,2657.30,13.15,0.03,NaN,158.93,NaN,0.03,1615170.00,2064.30,0.02,0.65,0.04,0.43,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.03,NaN,2.15,0.02,NaN
0.03,0.03,2.20,96.62,2.24,98.11,0.00,0.00,0.00,0.00,0.39,17.04,28.61,-80.60,9.79,66.97,0.00,0.00,0.00,18152.00,2649.10,13.15,0.03,NaN,158.90,NaN,0.03,1689212.00,1956.00,0.04,0.65,0.08,0.43,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.03,NaN,2.15,0.06,NaN
0.04,0.05,3.17,96.92,3.22,98.41,0.01,0.00,0.01,0.00,0.56,17.09,28.61,-80.60,9.79,62.01,0.00,0.00,0.00,18142.00,2639.40,13.14,0.03,NaN,158.87,NaN,0.03,1774118.00,1960.40,0.07,0.65,0.14,0.42,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.04,NaN,2.27,0.13,NaN
0.05,0.09,4.14,97.21,4.20,98.71,0.02,0.00,0.02,0.00,0.73,17.14,28.61,-80.60,9.79,57.52,0.00,0.00,0.00,18133.00,2629.90,13.14,0.03,NaN,158.83,NaN,0.03,1871330.00,1964.80,0.12,0.64,0.20,0.42,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.27,339.86,0.01,0.05,NaN,2.53,0.21,NaN
0.06,0.14,5.11,97.50,5.19,99.01,0.02,0.00,0.02,0.00,0.90,17.19,28.61,-80.60,9.79,53.17,0.00,0.00,0.00,18123.00,2620.40,13.13,0.03,NaN,158.79,NaN,0.03,1957731.00,1969.20,0.17,0.64,0.27,0.41,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.26,339.86,0.01,0.05,NaN,2.79,0.33,NaN
0.07,0.19,6.09,97.80,6.18,99.31,0.03,0.00,0.03,0.00,1.07,17.24,28.61,-80.60,9.79,49.20,0.00,0.00,0.00,18114.00,2611.00,13.13,0.03,NaN,158.76,NaN,0.03,2054763.00,1973.60,0.24,0.64,0.34,0.41,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.26,339.86,0.01,0.06,NaN,3.08,0.46,NaN
0.08,0.26,7.07,98.09,7.18,99.60,0.05,0.00,0.05,0.00,1.25,17.30,28.61,-80.60,9.79,45.59,0.00,0.00,0.00,18104.00,2601.50,13.12,0.03,NaN,158.72,NaN,0.04,2161114.00,1978.00,0.32,0.63,0.40,0.41,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.26,339.86,0.01,0.06,NaN,4.64,0.62,NaN
0.09,0.33,8.05,98.38,8.17,99.90,0.06,0.00,0.06,0.00,1.42,17.35,28.61,-80.60,9.79,42.33,0.00,0.00,0.00,18095.00,2592.10,13.12,0.03,NaN,158.69,NaN,0.04,2275593.00,1982.50,0.41,0.63,0.46,0.40,0.10,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,10.30,83.32,80.00,0.00,NaN,14.13,999.26,339.86,0.01,0.07,NaN,4.78,0.81,NaN
