# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.154,0,25.542,0,0,0,0,0,4.4353,28.61,-80.6,9.7884,80,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.023461,1291851,639.11,0.0025964,0.67349,0.0080777,0.44866,0.10476,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,80,0,NaN,28.893,998.89,348.81,0.01,0.0078587,0
0.01,0.0012577,0.25154,92.685,0.25542,94.115,2.22E-04,0,2.22E-04,0,0.044353,16.343,28.61,-80.6,9.7884,78.248,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.023587,1298805,1884.8,0.0041712,0.67303,0.012839,0.44819,0.10476,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.28E-05,10.3,83.323,80,0,NaN,28.893,998.89,348.81,0.01,0.010816,7.52E-04
0.02,0.0084084,1.1787,102.45,1.1968,104.03,0.0014826,0,0.0014826,0,0.20783,18.065,28.61,-80.6,9.7884,71.996,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.024269,1336367,2064.3,0.014664,0.67057,0.042632,0.44573,0.10477,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.54E-04,10.3,83.323,80,0,NaN,28.893,998.89,348.81,0.01,0.013551,0.016503
0.03,0.025319,2.2036,96.623,2.2376,98.114,0.0044645,0,0.0044645,0,0.38855,17.037,28.61,-80.6,9.7884,65.563,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.025339,1395285,1956,0.036531,0.66689,0.097428,0.44204,0.10477,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.88E-04,10.3,83.323,80,0,NaN,28.893,998.89,348.81,0.01,0.016814,0.057684
0.04,0.052188,3.1703,96.918,3.2192,98.413,0.0092022,0,0.0092022,0,0.55901,17.089,28.61,-80.6,9.7884,60.033,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.026616,1465578,1960.4,0.068264,0.66276,0.16501,0.4379,0.10477,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.14E-04,10.3,83.323,80,0,NaN,28.892,998.89,348.81,0.01,0.01974,0.1194
0.05,0.088739,4.1399,97.211,4.2038,98.711,0.015647,0,0.015647,0,0.72998,17.141,28.61,-80.6,9.7884,55.036,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.028122,1548485,1964.8,0.11129,0.6582,0.24098,0.43332,0.10477,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41E-04,10.3,83.323,80,0,NaN,28.892,998.89,348.81,0.01,0.022457,0.2036
0.06,0.135,5.1125,97.504,5.1914,99.008,0.023804,0,0.023804,0,0.90147,17.193,28.61,-80.6,9.7884,50.548,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.02981,1641435,1969.2,0.16551,0.65345,0.31895,0.42856,0.10478,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.68E-04,10.3,83.323,80,0,NaN,28.892,998.89,348.81,0.01,0.024241,0.31049
0.07,0.191,6.088,97.797,6.1819,99.305,0.033679,0,0.033679,0,1.0735,17.244,28.61,-80.6,9.7884,46.552,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.031666,1743668,1973.6,0.23053,0.64861,0.39367,0.4237,0.10478,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95E-04,10.3,83.323,80,0,NaN,28.892,998.88,348.81,0.01,0.026116,0.44029
0.08,0.25677,7.0664,98.089,7.1754,99.602,0.045276,0,0.045276,0,1.246,17.296,28.61,-80.6,9.7884,43.004,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.033666,1853767,1978,0.30575,0.64379,0.46195,0.41886,0.10479,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.23E-04,10.3,83.323,80,0,NaN,28.892,998.88,348.81,0.01,0.028052,0.59317
0.09,0.33234,8.0477,98.381,8.1719,99.899,0.058601,0,0.058601,0,1.419,17.347,28.61,-80.6,9.7884,39.855,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.035786,1970524,1982.5,0.39053,0.63907,0.5222,0.41411,0.1048,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001051,10.3,83.323,80,0,NaN,28.891,998.87,348.81,0.01,0.029669,0.76936
0.1,0.41774,9.032,98.673,9.1713,100.2,0.073659,0,0.073659,0,1.5926,17.399,28.61,-80.6,9.7884,37.059,0,0,0,18085,2582.6,13.113,0.028505,NaN,158.65,NaN,0.03801,2092930,1986.9,0.48424,0.63449,0.57397,0.4095,0.1048,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011795,10.3,83.323,80,0,NaN,28.891,998.87,348.81,0.01,0.031408,0.96906
