Time ,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number ,Altitude Feet,Range Feet,Cd ,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient ,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient ,Damping moment coefficient ,Nat. Freq. at zero roll rate rad/s,Damping Ratio ,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio ,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.592152, 0.000000, 0.000000, 0.000000,451794.124930,6621.813949,89.999999, 0.000000, 0.000000,62.440000,640.892616,74.707000, 8.337197, 3.025193, 0.000000, 0.000000, 0.000000, 0.000000, 1.462234, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87536.397974,65.653000, 1.044895, 0.000018, 0.000186,1104.584000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013750
 0.013750,1757.547917,-0.000000,1757.547917,317.498000, 0.000000,317.498000,285.422000, 0.000000,285.422000, 1.944000, 0.000000, 1.944000, 0.001760, 0.010000, 0.000000, 0.592152, 0.000603, 0.000000,-0.000603,451625.671724,6611.649782,89.999999,89.999999, 0.000000,62.428000,640.626338,74.707000, 8.337197, 3.027943, 0.000000, 0.000000, 0.000000, 0.000000, 1.462433, 0.061863, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87536.375530,65.653000, 1.044895, 0.000018, 0.000186,1104.584000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027500
 0.027500,1970.256500,-0.000000,1970.256500,356.157000, 0.000000,356.157000,324.081000, 0.000000,324.081000, 6.746000, 0.000000, 6.746000, 0.006107, 0.073000, 0.000000, 0.592152, 0.009628, 0.000000,-0.009628,451358.054256,6595.525058,89.999999,89.999999, 0.000000,62.411000,640.203909,74.707000, 8.337197, 3.032311, 0.000000, 0.000000, 0.000000, 0.000000, 1.462632, 0.061880, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87536.198155,65.653000, 1.044893, 0.000018, 0.000186,1104.584000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.041250
 0.041250,1958.715039,-0.000000,1958.715039,354.322000, 0.000000,354.322000,322.246000, 0.000000,322.246000,11.168000, 0.000000,11.168000, 0.010111, 0.199000, 0.000000, 0.592152, 0.027755, 0.000000,-0.027755,451066.268917,6577.976017,89.999999,89.999999, 0.000000,62.391000,639.744165,74.707000, 8.337197, 3.037071, 0.000000, 0.000000, 0.000000, 0.000000, 1.462832, 0.061897, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87535.823628,65.652000, 1.044890, 0.000018, 0.000186,1104.583000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.055000
 0.055000,1964.791024,-0.000000,1964.791024,355.671000, 0.000000,355.671000,323.595000, 0.000000,323.595000,15.609000, 0.000000,15.609000, 0.014131, 0.385000, 0.000000, 0.592152, 0.055364, 0.000000,-0.055364,450774.712472,6560.473853,89.999999,89.999999, 0.000000,62.372000,639.285650,74.707000, 8.337197, 3.041825, 0.000000, 0.000000, 0.000000, 0.000000, 1.463031, 0.061913, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87535.259546,65.652000, 1.044884, 0.000018, 0.000186,1104.583000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068750
 0.068750,1970.867008,-0.000000,1970.867008,357.020000, 0.000000,357.020000,324.944000, 0.000000,324.944000,20.069000, 0.000000,20.069000, 0.018169, 0.634000, 0.000000, 0.592153, 0.092586, 0.000000,-0.092586,450482.604712,6542.971689,89.999999,89.999999, 0.000000,62.353000,638.827135,74.707000, 8.337197, 3.046586, 0.000000, 0.000000, 0.000000, 0.000000, 1.463231, 0.061930, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87534.505118,65.651000, 1.044877, 0.000018, 0.000186,1104.582000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.082500
 0.082500,1976.942992,-0.000000,1976.942992,358.370000, 0.000000,358.370000,326.293000, 0.000000,326.293000,24.547000, 0.000000,24.547000, 0.022223, 0.943000, 0.000000, 0.592154, 0.139541, 0.000000,-0.139541,450189.944110,6525.469525,89.999999,89.999999, 0.000000,62.333000,638.368619,74.707000, 8.337197, 3.051354, 0.000000, 0.000000, 0.000000, 0.000000, 1.463430, 0.061946, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87533.559555,65.650000, 1.044868, 0.000018, 0.000186,1104.581000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.096250
 0.096250,1983.018976,-0.000000,1983.018976,359.719000, 0.000000,359.719000,327.643000, 0.000000,327.643000,29.044000, 0.000000,29.044000, 0.026294, 1.314000, 0.000000, 0.592154, 0.196345, 0.000000,-0.196345,449896.729129,6507.967361,89.999999,89.999999, 0.000000,62.314000,637.910104,74.707000, 8.337197, 3.056129, 0.000000, 0.000000, 0.000000, 0.000000, 1.463629, 0.061962, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87532.422068,65.648000, 1.044857, 0.000018, 0.000186,1104.579000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110000
 0.110000,1989.094961,-0.000000,1989.094961,361.069000, 0.000000,361.069000,328.993000, 0.000000,328.993000,33.559000, 0.000000,33.559000, 0.030382, 1.747000, 0.000000, 0.592155, 0.263120, 0.000000,-0.263120,449602.958233,6490.465197,89.999999,89.999999, 0.000000,62.295000,637.451588,74.707000, 8.337197, 3.060911, 0.000000, 0.000000, 0.000000, 0.000000, 1.463829, 0.061979, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87531.091869,65.647000, 1.044844, 0.000018, 0.000186,1104.578000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.123750
 0.123750,1995.170945,-0.000000,1995.170945,362.419000, 0.000000,362.419000,330.342000, 0.000000,330.342000,38.093000, 0.000000,38.093000, 0.034486, 2.243000, 0.000000, 0.592156, 0.339985, 0.000000,-0.339985,449308.629875,6472.963032,89.999999,89.999999, 0.000000,62.275000,636.993073,74.707000, 8.337197, 3.065700, 0.000000, 0.000000, 0.000000, 0.000000, 1.464028, 0.061995, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.076000,87529.568172,65.645000, 1.044829, 0.000018, 0.000186,1104.576000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.137500
