Time ,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number ,Altitude Feet,Range Feet,Cd ,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient ,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient ,Damping moment coefficient ,Nat. Freq. at zero roll rate rad/s,Damping Ratio ,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio ,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.591849, 0.000000, 0.000000, 0.000000,451794.140389,6621.813949,89.999999, 0.000000, 0.000000,62.440000,640.892603,74.707000, 8.337197, 3.025194, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87510.717927,64.563000, 1.046760, 0.000018, 0.000186,1103.438000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013750
 0.013750,1757.547917,-0.000000,1757.547917,317.498000, 0.000000,317.498000,285.422000, 0.000000,285.422000, 1.944000, 0.000000, 1.944000, 0.001762, 0.010000, 0.000000, 0.591849, 0.000604, 0.000000,-0.000604,451625.687166,6611.649782,89.999999,89.999999, 0.000000,62.428000,640.626325,74.707000, 8.337197, 3.027944, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87510.695443,64.563000, 1.046760, 0.000018, 0.000186,1103.438000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027500
 0.027500,1970.256500,-0.000000,1970.256500,356.157000, 0.000000,356.157000,324.081000, 0.000000,324.081000, 6.746000, 0.000000, 6.746000, 0.006113, 0.073000, 0.000000, 0.591849, 0.009641, 0.000000,-0.009641,451358.069671,6595.525058,89.999999,89.999999, 0.000000,62.411000,640.203896,74.707000, 8.337197, 3.032312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87510.517752,64.563000, 1.046758, 0.000018, 0.000186,1103.438000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.041250
 0.041250,1958.715039,-0.000000,1958.715039,354.322000, 0.000000,354.322000,322.246000, 0.000000,322.246000,11.168000, 0.000000,11.168000, 0.010121, 0.199000, 0.000000, 0.591849, 0.027790, 0.000000,-0.027790,451066.284302,6577.976017,89.999999,89.999999, 0.000000,62.391000,639.744152,74.707000, 8.337197, 3.037072, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87510.142557,64.562000, 1.046755, 0.000018, 0.000186,1103.437000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.055000
 0.055000,1964.791024,-0.000000,1964.791024,355.671000, 0.000000,355.671000,323.595000, 0.000000,323.595000,15.609000, 0.000000,15.609000, 0.014146, 0.385000, 0.000000, 0.591850, 0.055434, 0.000000,-0.055434,450774.727827,6560.473853,89.999999,89.999999, 0.000000,62.372000,639.285637,74.707000, 8.337197, 3.041827, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87509.577467,64.562000, 1.046749, 0.000018, 0.000186,1103.436000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068750
 0.068750,1970.867008,-0.000000,1970.867008,357.020000, 0.000000,357.020000,324.944000, 0.000000,324.944000,20.069000, 0.000000,20.069000, 0.018188, 0.634000, 0.000000, 0.591850, 0.092704, 0.000000,-0.092704,450482.620037,6542.971689,89.999999,89.999999, 0.000000,62.353000,638.827122,74.707000, 8.337197, 3.046588, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87508.821693,64.561000, 1.046742, 0.000018, 0.000186,1103.435000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.082500
 0.082500,1976.942992,-0.000000,1976.942992,358.370000, 0.000000,358.370000,326.293000, 0.000000,326.293000,24.547000, 0.000000,24.547000, 0.022246, 0.943000, 0.000000, 0.591851, 0.139718, 0.000000,-0.139718,450189.959404,6525.469525,89.999999,89.999999, 0.000000,62.333000,638.368606,74.707000, 8.337197, 3.051356, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87507.874442,64.560000, 1.046733, 0.000018, 0.000186,1103.434000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.096250
 0.096250,1983.018976,-0.000000,1983.018976,359.719000, 0.000000,359.719000,327.643000, 0.000000,327.643000,29.044000, 0.000000,29.044000, 0.026321, 1.314000, 0.000000, 0.591852, 0.196595, 0.000000,-0.196595,449896.744394,6507.967361,89.999999,89.999999, 0.000000,62.314000,637.910091,74.707000, 8.337197, 3.056130, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87506.734924,64.558000, 1.046722, 0.000018, 0.000186,1103.433000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110000
 0.110000,1989.094961,-0.000000,1989.094961,361.069000, 0.000000,361.069000,328.993000, 0.000000,328.993000,33.559000, 0.000000,33.559000, 0.030413, 1.747000, 0.000000, 0.591853, 0.263455, 0.000000,-0.263455,449602.973467,6490.465197,89.999999,89.999999, 0.000000,62.295000,637.451576,74.707000, 8.337197, 3.060912, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87505.402351,64.557000, 1.046709, 0.000018, 0.000186,1103.431000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.123750
 0.123750,1995.170945,-0.000000,1995.170945,362.419000, 0.000000,362.419000,330.342000, 0.000000,330.342000,38.093000, 0.000000,38.093000, 0.034522, 2.243000, 0.000000, 0.591854, 0.340417, 0.000000,-0.340417,449308.645079,6472.963032,89.999999,89.999999, 0.000000,62.275000,636.993060,74.707000, 8.337197, 3.065701, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.961076,32.076000,87503.875934,64.555000, 1.046694, 0.000018, 0.000186,1103.430000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.137500
