Time ,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number ,Altitude Feet,Range Feet,Cd ,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient ,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient ,Damping moment coefficient ,Nat. Freq. at zero roll rate rad/s,Damping Ratio ,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio ,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594682,0,0,0,451794.1249,6621.813949,84.999999,0,0,62.44,640.892616,74.707,8.337197,3.025193,0,0,0,0,23.558256,0,0,0,0,0,0,0,32.076,88053.3396,75.801,1.031145,0.000018,0.000191,1105.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01375
0.01375,1757.547917,153.187876,1750.869235,317.5,27.673,316.292,285.424,24.877,284.337,1.944,0.169,1.937,0.001758,0.01,0.001,0.594682,0.000598,-0.000052,-0.000596,451625.6717,6611.649782,84.999999,84.999783,0,62.428,640.626338,74.707,8.337197,3.027943,0,0,0,0,23.557773,15.664603,0,0,0,0,0,0,32.076,88053.31754,75.801,1.031145,0.000018,0.000191,1105.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275
0.0275,1970.2565,171.727557,1962.769525,356.159,31.043,354.804,324.083,28.247,322.849,6.746,0.588,6.72,0.0061,0.072,0.006,0.594682,0.009542,-0.000832,-0.009506,451358.0543,6595.525058,84.999999,84.999783,0,62.411,640.203909,74.707,8.337197,3.032311,0,0,0,0,23.55729,15.663935,0,0,0,0,0,0,32.076,88053.14316,75.801,1.031143,0.000018,0.000191,1105.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04125
0.04125,1958.715039,170.721603,1951.271922,354.324,30.883,352.976,322.247,28.087,321.021,11.168,0.973,11.126,0.010098,0.198,0.017,0.594682,0.027507,-0.002397,-0.027402,451066.2689,6577.976017,84.999999,84.999783,0,62.391,639.744165,74.707,8.337197,3.037071,0,0,0,0,23.556807,15.663239,0,0,0,0,0,0,32.076,88052.77497,75.801,1.03114,0.000018,0.000191,1105.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055
0.055,1964.791024,171.251186,1957.324818,355.673,31,354.32,323.597,28.205,322.365,15.609,1.361,15.55,0.014114,0.384,0.034,0.594683,0.054869,-0.004782,-0.05466,450774.7125,6560.473853,84.999999,84.999783,0,62.372,639.28565,74.707,8.337197,3.041825,0,0,0,0,23.556324,15.662517,0,0,0,0,0,0,32.076,88052.22042,75.8,1.031135,0.000018,0.000191,1105.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06875
0.06875,1970.867008,171.780768,1963.377713,357.022,31.118,355.664,324.946,28.322,323.709,20.069,1.749,19.993,0.018146,0.631,0.055,0.594683,0.09176,-0.007998,-0.09141,450482.6047,6542.971689,84.999999,84.999783,0,62.353,638.827135,74.707,8.337197,3.046586,0,0,0,0,23.555841,15.661768,0,0,0,0,0,0,32.076,88051.47875,75.799,1.031128,0.000018,0.000191,1105.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825
0.0825,1976.942992,172.310351,1969.430609,358.372,31.236,357.008,326.295,28.44,325.054,24.547,2.14,24.454,0.022195,0.939,0.082,0.594684,0.138294,-0.012054,-0.137768,450189.9441,6525.469525,84.999999,84.999783,0,62.333,638.368619,74.707,8.337197,3.051354,0,0,0,0,23.555357,15.660991,0,0,0,0,0,0,32.076,88050.54918,75.798,1.031119,0.000018,0.000191,1105.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09625
0.09625,1983.018976,172.839934,1975.483504,359.722,31.353,358.353,327.645,28.557,326.398,29.044,2.531,28.933,0.026261,1.309,0.115,0.594684,0.194592,-0.016961,-0.193851,449896.7291,6507.967361,84.999999,84.999783,0,62.314,637.910104,74.707,8.337197,3.056129,0,0,0,0,23.554874,15.660187,0,0,0,0,0,0,32.076,88049.43092,75.797,1.031108,0.000018,0.000191,1105.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
0.11,1989.094961,173.369517,1981.5364,361.071,31.471,359.697,328.995,28.675,327.743,33.559,2.925,33.431,0.030344,1.741,0.152,0.594685,0.260771,-0.022729,-0.259777,449602.9582,6490.465197,84.999999,84.999783,0,62.295,637.451588,74.707,8.337197,3.060911,0,0,0,0,23.55439,15.659356,0,0,0,0,0,0,32.076,88048.12322,75.795,1.031096,0.000018,0.000191,1105.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12375
0.12375,1995.170945,173.8991,1987.589295,362.421,31.589,361.042,330.345,28.793,329.088,38.093,3.32,37.948,0.034443,2.234,0.196,0.594686,0.336949,-0.029368,-0.335665,449308.6299,6472.963032,84.999999,84.999783,0,62.275,636.993073,74.707,8.337197,3.0657,0,0,0,0,23.553907,15.658498,0,0,0,0,0,0,32.076,88046.62528,75.794,1.031082,0.000018,0.000191,1105.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375
