Time ,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number ,Altitude Feet,Range Feet,Cd ,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient ,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient ,Damping moment coefficient ,Nat. Freq. at zero roll rate rad/s,Damping Ratio ,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio ,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000000, 0.594292, 0.000000, 0.000000, 0.000000,451794.140389,6621.813949,84.999999, 0.000000, 0.000000,62.440000,640.892603,74.707000, 8.337197, 3.025194, 0.000000, 0.000000, 0.000000, 0.000000,16.752934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179203,32.076000,87997.750904,74.318000, 1.033357, 0.000018, 0.000191,1104.435000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013750
 0.013750,1757.547917,153.187876,1750.869235,317.500000,27.673000,316.292000,285.424000,24.877000,284.337000, 1.944000, 0.169000, 1.937000, 0.001760, 0.010000, 0.001000, 0.594292, 0.000599,-0.000052,-0.000596,451625.687166,6611.649782,84.999999,84.999783, 0.000000,62.428000,640.626325,74.707000, 8.337197, 3.027944, 0.000000, 0.000000, 0.000000, 0.000000,16.752684, 7.938712, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179203,32.076000,87997.728792,74.318000, 1.033356, 0.000018, 0.000191,1104.435000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027500
 0.027500,1970.256500,171.727557,1962.769525,356.159000,31.043000,354.804000,324.083000,28.247000,322.849000, 6.746000, 0.588000, 6.720000, 0.006108, 0.072000, 0.006000, 0.594292, 0.009557,-0.000833,-0.009520,451358.069671,6595.525058,84.999999,84.999783, 0.000000,62.411000,640.203896,74.707000, 8.337197, 3.032312, 0.000000, 0.000000, 0.000000, 0.000000,16.752435, 7.938463, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179197,32.076000,87997.554043,74.318000, 1.033355, 0.000018, 0.000191,1104.435000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.041250
 0.041250,1958.715039,170.721603,1951.271922,354.324000,30.883000,352.976000,322.247000,28.087000,321.021000,11.168000, 0.973000,11.126000, 0.010112, 0.198000, 0.017000, 0.594292, 0.027548,-0.002401,-0.027443,451066.284302,6577.976017,84.999999,84.999783, 0.000000,62.391000,639.744152,74.707000, 8.337197, 3.037072, 0.000000, 0.000000, 0.000000, 0.000000,16.752185, 7.938199, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179185,32.076000,87997.185059,74.318000, 1.033351, 0.000018, 0.000191,1104.434000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.055000
 0.055000,1964.791024,171.251186,1957.324818,355.673000,31.000000,354.320000,323.597000,28.205000,322.365000,15.609000, 1.361000,15.550000, 0.014133, 0.384000, 0.034000, 0.594293, 0.054951,-0.004790,-0.054742,450774.727827,6560.473853,84.999999,84.999783, 0.000000,62.372000,639.285637,74.707000, 8.337197, 3.041827, 0.000000, 0.000000, 0.000000, 0.000000,16.751935, 7.937922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179166,32.076000,87996.629326,74.317000, 1.033346, 0.000018, 0.000191,1104.434000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068750
 0.068750,1970.867008,171.780768,1963.377713,357.022000,31.118000,355.664000,324.946000,28.322000,323.709000,20.069000, 1.749000,19.993000, 0.018171, 0.631000, 0.055000, 0.594293, 0.091896,-0.008010,-0.091546,450482.620037,6542.971689,84.999999,84.999783, 0.000000,62.353000,638.827122,74.707000, 8.337197, 3.046588, 0.000000, 0.000000, 0.000000, 0.000000,16.751686, 7.937631, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179141,32.076000,87995.886064,74.316000, 1.033339, 0.000018, 0.000191,1104.433000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.082500
 0.082500,1976.942992,172.310351,1969.430609,358.372000,31.236000,357.008000,326.295000,28.440000,325.054000,24.547000, 2.140000,24.454000, 0.022226, 0.939000, 0.082000, 0.594294, 0.138500,-0.012072,-0.137972,450189.959404,6525.469525,84.999999,84.999783, 0.000000,62.333000,638.368606,74.707000, 8.337197, 3.051356, 0.000000, 0.000000, 0.000000, 0.000000,16.751436, 7.937327, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179110,32.076000,87994.954495,74.315000, 1.033330, 0.000018, 0.000191,1104.432000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.096250
 0.096250,1983.018976,172.839934,1975.483504,359.722000,31.353000,358.353000,327.645000,28.557000,326.398000,29.044000, 2.531000,28.933000, 0.026298, 1.309000, 0.115000, 0.594295, 0.194882,-0.016986,-0.194139,449896.744394,6507.967361,84.999999,84.999783, 0.000000,62.314000,637.910091,74.707000, 8.337197, 3.056130, 0.000000, 0.000000, 0.000000, 0.000000,16.751187, 7.937008, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179073,32.076000,87993.833843,74.314000, 1.033319, 0.000018, 0.000191,1104.430000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110000
 0.110000,1989.094961,173.369517,1981.536400,361.071000,31.471000,359.697000,328.995000,28.675000,327.743000,33.559000, 2.925000,33.431000, 0.030386, 1.741000, 0.152000, 0.594295, 0.261159,-0.022763,-0.260163,449602.973467,6490.465197,84.999999,84.999783, 0.000000,62.295000,637.451576,74.707000, 8.337197, 3.060912, 0.000000, 0.000000, 0.000000, 0.000000,16.750937, 7.936676, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179029,32.076000,87992.523331,74.312000, 1.033307, 0.000018, 0.000191,1104.429000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.123750
 0.123750,1995.170945,173.899100,1987.589295,362.421000,31.589000,361.042000,330.345000,28.793000,329.088000,38.093000, 3.320000,37.948000, 0.034491, 2.234000, 0.196000, 0.594296, 0.337450,-0.029412,-0.336164,449308.645079,6472.963032,84.999999,84.999783, 0.000000,62.275000,636.993060,74.707000, 8.337197, 3.065701, 0.000000, 0.000000, 0.000000, 0.000000,16.750687, 7.936330, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179694,32.076000,87991.022183,74.310000, 1.033293, 0.000018, 0.000191,1104.427000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.137500
 0.137500,2001.246929,174.428682,1993.642191,363.771000,31.706000,362.387000,331.695000,28.910000,330.432000,42.645000, 3.717000,42.483000, 0.038613, 2.790000, 0.244000, 0.594298, 0.423875,-0.036945,-0.422260,449013.757679,6455.460868,84.999999,84.999783, 0.000000,62.256000,636.534545,74.707000, 8.337197, 3.070496, 0.000000, 0.000000, 0.000000, 0.000000,16.750438, 7.935970, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179639,32.076000,87989.329627,74.308000, 1.033277, 0.000018, 0.000191,1104.425000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.151250
 0.151250,2007.322913,174.958265,1999.695086,365.123000,31.824000,363.733000,333.046000,29.028000,331.779000,47.216000, 4.115000,47.036000, 0.042752, 3.408000, 0.298000, 0.586840, 0.514021,-0.044802,-0.512063,448718.309713,6437.958704,84.999999,84.999783, 0.000000,62.236000,636.076029,74.707000, 8.337197, 3.075299, 0.000000, 0.000000, 0.000000, 0.000000,16.750188, 7.935596, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.179577,32.076000,87987.444887,74.306000, 1.033259, 0.000018, 0.000191,1104.423000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.165000
 0.165000,2010.153954,175.205019,2002.515369,365.892000,31.891000,364.499000,333.815000,29.095000,332.545000,51.802000, 4.515000,51.605000, 0.046905, 4.089000, 0.358000, 0.579132, 0.611528,-0.053301,-0.609198,448413.142777,6419.915655,84.999999,84.999783, 0.000000,62.216000,635.603344,74.707000, 8.337197, 3.080257, 0.000000, 0.000000, 0.000000, 0.000000,16.749938, 7.935208, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.180213,32.076000,87985.367221,74.304000, 1.033239, 0.000018, 0.000191,1104.420000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.178750
 0.178750,2011.768141,175.345711,2004.123422,366.442000,31.939000,365.048000,334.366000,29.143000,333.093000,56.396000, 4.916000,56.182000, 0.051064, 4.833000, 0.423000, 0.572500, 0.717420,-0.062530,-0.714687,448103.936016,6401.669774,84.999999,84.999783, 0.000000,62.196000,635.125345,74.707000, 8.337197, 3.085278, 0.000000, 0.000000, 0.000000, 0.000000,16.749689, 7.934805, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.180139,32.076000,87983.096166,74.301000, 1.033217, 0.000018, 0.000191,1104.417000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.192500
 0.192500,2013.382327,175.486404,2005.731475,366.992000,31.987000,365.595000,334.915000,29.191000,333.640000,60.998000, 5.317000,60.766000, 0.055231, 5.640000, 0.494000, 0.567022, 0.832141,-0.072529,-0.828970,447794.114803,6383.423892,84.999999,84.999783, 0.000000,62.175000,634.647346,74.707000, 8.337197, 3.090307, 0.000000, 0.000000, 0.000000, 0.000000,16.749439, 7.934389, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.180060,32.076000,87980.631414,74.298000, 1.033194, 0.000018, 0.000191,1104.414000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.206250
 0.206250,2014.996514,175.627096,2007.339527,367.540000,32.035000,366.141000,335.464000,29.239000,334.187000,65.607000, 5.718000,65.358000, 0.059405, 6.510000, 0.570000, 0.562425, 0.955729,-0.083301,-0.952087,447483.677349,6365.178011,84.999999,84.999783, 0.000000,62.155000,634.169347,74.707000, 8.337197, 3.095343, 0.000000, 0.000000, 0.000000, 0.000000,16.749189, 7.933959, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.180668,32.076000,87977.972660,74.295000, 1.033169, 0.000018, 0.000191,1104.411000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.220000
 0.220000,2016.610701,175.767789,2008.947580,368.088000,32.082000,366.687000,336.012000,29.287000,334.733000,70.224000, 6.121000,69.957000, 0.063585, 7.443000, 0.651000, 0.558286, 1.087781,-0.094811,-1.083637,447172.621859,6346.932129,84.999999,84.999783, 0.000000,62.135000,633.691348,74.707000, 8.337197, 3.100388, 0.000000, 0.000000, 0.000000, 0.000000,16.748940, 7.933514, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.180577,32.076000,87975.119601,74.292000, 1.033142, 0.000018, 0.000191,1104.408000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.233750
 0.233750,2018.224888,175.908481,2010.555633,368.635000,32.130000,367.232000,336.559000,29.334000,335.278000,74.848000, 6.524000,74.563000, 0.067773, 8.440000, 0.738000, 0.554517, 1.228271,-0.107056,-1.223591,446860.946533,6328.686248,84.999999,84.999783, 0.000000,62.114000,633.213349,74.707000, 8.337197, 3.105439, 0.000000, 0.000000, 0.000000, 0.000000,16.748690, 7.933055, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.181165,32.076000,87972.071935,74.288000, 1.033113, 0.000018, 0.000191,1104.404000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.247500
 0.247500,2019.839074,176.049174,2012.163686,369.182000,32.178000,367.777000,337.105000,29.382000,335.822000,79.480000, 6.927000,79.178000, 0.071967, 9.500000, 0.831000, 0.551049, 1.377173,-0.120034,-1.371926,446548.649563,6310.440367,84.999999,84.999783, 0.000000,62.094000,632.735350,74.707000, 8.337197, 3.110498, 0.000000, 0.000000, 0.000000, 0.000000,16.748440, 7.932582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-4.181063,32.076000,87968.829360,74.285000, 1.033082, 0.000018, 0.000191,1104.400000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.261250
