# Simulation 6 (Up to date)
# 1005 data points written for 55 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,26.73,0,26.73,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17499,2663.3,13.052,0.024794,NaN,160.48,NaN,0,0,639.11,0,1.8216,1.8216,1.5969,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.017327,0
0.01,0.0013365,0.2673,97.917,0.2673,97.917,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17499,2663.3,13.052,0.024794,NaN,160.48,NaN,7.8529e-4,46586,1884.8,4.3723e-4,1.199,1.199,0.97429,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4224e-5,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.022306,8.7529e-4
0.02,0.0089067,1.2468,108.21,1.2468,108.21,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17493,2657.3,13.049,0.02479,NaN,160.46,NaN,0.0036628,217290,2064.3,0.0069802,0.87987,0.87987,0.65513,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5963e-4,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.024906,0.019042
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.026787,2.3294,102.07,2.3294,102.07,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17485,2649.1,13.046,0.024784,NaN,160.43,NaN,0.0068433,405965,1956,0.021979,0.79371,0.79371,0.56896,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9824e-4,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.027613,0.066469
0.04,0.055186,3.3506,102.39,3.3506,102.39,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17475,2639.4,13.041,0.024778,NaN,160.39,NaN,0.0098435,583946,1960.4,0.04304,0.75119,0.75119,0.52644,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.29e-4,10.3,83.323,90,0,NaN,15,1013.2,340.39,0.01,0.030026,0.13753
0.05,0.093814,4.375,102.7,4.375,102.7,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17466,2629.9,13.037,0.024771,NaN,160.35,NaN,0.012853,762470,1964.8,0.070621,0.72297,0.72297,0.4982,0.10475,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6015e-4,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.032551,0.23447
0.06,0.1427,5.4025,103.01,5.4025,103.01,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17456,2620.4,13.032,0.024764,NaN,160.32,NaN,0.015871,941536,1969.2,0.1046,0.70222,0.70222,0.47744,0.10475,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.917e-4,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.035108,0.35754
0.07,0.20188,6.4331,103.32,6.4331,103.32,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17447,2611,13.028,0.024758,NaN,160.28,NaN,0.018899,1121144,1973.6,0.14489,0.68603,0.68603,0.46123,0.10475,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2366e-4,10.3,83.323,90,0,NaN,14.999,1013.2,340.39,0.01,0.037698,0.50695
0.08,0.27138,7.4668,103.64,7.4668,103.64,0,0,0,0,0,0,28.61,-80.6,9.7922,0,0,0,0,17437,2601.5,13.023,0.024751,NaN,160.25,NaN,0.021936,1301293,1978,0.19145,0.67285,0.67285,0.44803,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5601e-4,10.3,83.323,90,0,NaN,14.998,1013.2,340.39,0.01,0.039831,0.68297
