# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,-0.070937,0,0.070937,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,20544,3776.9,17.596,0.027774,NaN,176.68,NaN,0.021507,1427090,200,0,0.81276,0,0.5083,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.011379,0
0.01,0,0,19.4,0,19.4,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,20544,3776.9,17.596,0.027774,NaN,176.68,NaN,0.021501,1426645,600,0,0.81279,0,0.50833,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.015483,0
0.02,9.70E-04,0.19402,34.616,0.19402,34.616,0,0,0,0,0,0,45,0,9.8062,88.481,0,0,0,20542,3774.7,17.594,0.027773,NaN,176.67,NaN,0.021502,1426702,912.5,1.04E-05,0.81278,3.75E-05,0.50833,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00E-05,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.018882,4.61E-04
0.03,0.0046414,0.54025,45.58,0.54025,45.58,0,0,0,0,0,0,45,0,9.8062,85.776,0,0,0,20538,3770.7,17.592,0.02777,NaN,176.66,NaN,0.021546,1429640,1137.5,2.19E-04,0.81258,7.83E-04,0.50813,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.57E-05,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.021679,0.0035754
0.04,0.012323,0.99618,57.771,0.99618,57.771,0,0,0,0,0,0,45,0,9.8062,82.242,0,0,0,20532,3765,17.589,0.027766,NaN,176.64,NaN,0.021679,1438478,1387.5,0.0013216,0.81198,0.0046646,0.50753,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.025541,0.012157
0.05,0.025174,1.5741,71.192,1.5741,71.192,0,0,0,0,0,0,45,0,9.8062,77.847,0,0,0,20525,3758,17.584,0.027761,NaN,176.61,NaN,0.021966,1457529,1662.5,0.0049515,0.81071,0.017022,0.50625,0.18439,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.62E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.030018,0.030352
0.06,0.044476,2.2863,85.238,2.2863,85.238,0,0,0,0,0,0,45,0,9.8062,72.738,0,0,0,20517,3749.5,17.579,0.027755,NaN,176.58,NaN,0.022635,1501905,1950,0.014112,0.80782,0.04569,0.50336,0.1844,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.033673,0.064032
0.07,0.071602,3.139,99.914,3.139,99.914,0,0,0,0,0,0,45,0,9.8062,67.03,0,0,0,20506,3739.5,17.573,0.027748,NaN,176.55,NaN,0.023631,1567977,2250,0.033488,0.80372,0.099477,0.49925,0.1844,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.24E-04,10.4,84.949,90,0,NaN,15,1013.2,340.39,0.01,0.037296,0.12071
0.08,0.10799,4.1387,106.11,4.1387,106.11,0,0,0,0,0,0,45,0,9.8062,60.96,0,0,0,20495,3727.9,17.566,0.02774,NaN,176.51,NaN,0.025048,1661987,2375.7,0.069348,0.79826,0.18335,0.49377,0.1844,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27E-04,10.4,84.949,90,0,NaN,14.999,1013.2,340.39,0.01,0.041047,0.20983
0.09,0.15469,5.2003,103.8,5.2003,103.8,0,0,0,0,0,0,45,0,9.8062,55.272,0,0,0,20483,3715.9,17.559,0.027731,NaN,176.46,NaN,0.026818,1779413,2327.1,0.12365,0.79197,0.28519,0.48746,0.18441,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.36E-04,10.4,84.949,90,0,NaN,14.999,1013.2,340.39,0.01,0.044771,0.33128
