Time (sec),Stage,Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4801544,0,294.6484,40.06,0,0,204.47146915531,204.471469154893,0.000413024247244891,2.04471500000417,2.044715,0.000004130242,89.9999,89.9999,0.01022357,0.00000002065121
0.02,S,0.02,0.010,0,0.4801545,0,508.8886,40.05328,0.0001669614,0,376.60592262421,376.605922623534,0.000713455532754191,5.81077400001092,5.810774,0.0000112648,89.9999,89.9999,0.04950102,0.00000009762642
0.03,S,0.03,0.010,0,0.4801546,0,446.5131,40.03345,0.001348398,0,326.677619145308,326.677619144708,0.000626314207369575,9.07755000001692,9.07755,0.00001752794,89.9999,89.9999,0.1239426,0.0000002415901
0.04,S,0.04,0.010,0,0.4801548,0,447.5066,40.01173,0.003290686,0,327.669766876204,327.669766875602,0.000628045836017313,12.3542500000229,12.35425,0.0000238084,89.9999,89.9999,0.2311016,0.0000004482718
0.05,S,0.05,0.01065271,0,0.4622847,0,448.5002,39.99115,0.005868252,0,328.652197932867,328.652197932264,0.000629760497194718,15.640770000029,15.64077,0.000030106,89.9999,89.9999,0.3710767,0.0000007178438
0.05999999,S,0.05999999,0.01348659,0,0.5022975,0,449.4938,39.97052,0.01021979,0,329.634709747107,329.634709746502,0.000631475305054173,18.937120000035,18.93712,0.00003642075,89.9999,89.9999,0.5439662,0.000001050478
0.06999999,S,0.06999999,0.01632895,0,0.5275599,0,450.4874,39.94985,0.01573482,0,330.617741455673,330.617741455067,0.00063319102065159,22.2433000000411,22.2433,0.00004275266,89.9999,89.9999,0.7498683,0.000001446345
0.07999999,S,0.07999999,0.01917979,0,0.5442145,0,451.4811,39.92913,0.0223938,0,331.601281160446,331.601281159838,0.000634907617827425,25.5593100000472,25.55931,0.00004910174,89.9999,89.9999,0.9888813,0.000001905617
0.08999999,S,0.08999999,0.02203911,0,0.5556216,0,452.4749,39.90837,0.03018793,0,332.585452996812,332.585452996203,0.000636625324024464,28.8851700000533,28.88517,0.00005546799,89.9999,89.9999,1.261104,0.000002428465
0.09999999,S,0.09999999,0.02490693,0,0.5636591,0,453.4687,39.88756,0.03911277,0,333.570187005692,333.570187005081,0.000638344006380094,32.2208700000594,32.22087,0.00006185143,89.9999,89.9999,1.566634,0.000003015062
0.11,S,0.11,0.02778324,0,0.5694354,0,454.4625,39.8667,0.04916623,0,334.555518252806,334.555518252194,0.000640063736863272,35.5664300000655,35.56643,0.00006825207,89.9999,89.9999,1.90557,0.00000366558
0.12,S,0.12,0.03066807,0,0.5736393,0,455.4564,39.84579,0.06034798,0,335.54141171093,335.541411710316,0.000641784443538521,38.9218400000716,38.92184,0.00007466992,89.9999,89.9999,2.278012,0.00000438019
0.13,S,0.13,0.0335614,0,0.5767179,0,456.4504,39.82484,0.07265877,0,336.527935600299,336.527935599684,0.000643506256280817,42.2871200000778,42.28712,0.00008110498,89.9999,89.9999,2.684056,0.000005159064
0.14,S,0.14,0.03646325,0,0.5789712,0,457.4444,39.80385,0.08610047,0,337.515003401815,337.515003401198,0.000645229013273077,45.6622700000839,45.66227,0.00008755727,89.9999,89.9999,3.123803,0.000006002375
0.15,S,0.15,0.03937362,0,0.5806077,0,458.4384,39.78281,0.1006755,0,338.502699109876,338.502699109258,0.000646952866518974,49.0472900000901,49.04729,0.0000940268,89.9999,89.9999,3.597351,0.000006910296
0.16,S,0.16,0.04229252,0,0.5817753,0,459.0678,39.76171,0.1163871,0,339.195844662914,339.195844662295,0.000648162633158212,52.4392500000963,52.43925,0.0001005084,89.9999,89.9999,4.104784,0.000007882972
0.17,S,0.17,0.04521741,0,0.582581,0,459.3324,39.74058,0.1332238,0,339.593960634316,339.593960633696,0.000648857476375511,55.8351900001025,55.83519,0.000106997,89.9999,89.9999,4.646156,0.000008920499
0.18,S,0.18,0.04814575,0,0.5831047,0,459.5971,39.71943,0.1511707,0,339.991794063536,339.991794062916,0.000649551826580764,59.2351100001087,59.23511,0.0001134925,89.9999,89.9999,5.221507,0.00001002295
0.19,S,0.19,0.05107754,0,0.5834074,0,459.8619,39.69827,0.1702265,0,340.389285296379,340.389285295758,0.000650245579628608,62.6390000001149,62.639,0.000119995,89.9999,89.9999,5.830878,0.00001119038
0.2,S,0.2,0.05401277,0,0.5835354,0,460.1267,39.6771,0.1903905,0,340.786459508147,340.786459507525,0.000650938779458372,66.0468700001212,66.04687,0.0001265044,89.9999,89.9999,6.474307,0.00001242288
0.21,S,0.21,0.05695144,0,0.5835243,0,460.3915,39.65591,0.211662,0,341.183328344938,341.183328344316,0.000651631446425846,69.4587000001274,69.4587,0.0001330207,89.9999,89.9999,7.151835,0.00001372051
0.22,S,0.22,0.05989356,0,0.5834021,0,460.6564,39.63472,0.2340408,0,341.579905468425,341.579905467802,0.000652323604345947,72.8745000001336,72.8745,0.0001395439,89.9999,89.9999,7.863501,0.00001508333
0.23,S,0.23,0.06283911,0,0.5831906,0,460.9214,39.61351,0.2575265,0,341.976141412652,341.976141412028,0.000653015166884438,76.2942600001398,76.29426,0.0001460741,89.9999,89.9999,8.609344,0.00001651142
0.24,S,0.24,0.06578811,0,0.5829074,0,461.1864,39.59228,0.2821195,0,342.372071803068,342.372071802444,0.000653706196249022,79.7179800001461,79.71798,0.0001526112,89.9999,89.9999,9.389405,0.00001800485
0.25,S,0.25,0.06874053,0,0.5825664,0,461.4514,39.57104,0.3078202,0,342.76768503783,342.767685037205,0.000654396672161412,83.1456500001523,83.14565,0.0001591552,89.9999,89.9999,10.20372,0.00001956368
0.26,S,0.26,0.07169639,0,0.5821789,0,461.7165,39.5498,0.3346287,0,343.162980675028,343.162980674403,0.000655086593850481,86.5772900001586,86.57729,0.0001657061,89.9999,89.9999,11.05234,0.00002118799
0.27,S,0.27,0.0746557,0,0.5817541,0,461.9817,39.52854,0.3625461,0,343.557932774661,343.557932774035,0.000655775916042527,90.0128700001649,90.01287,0.0001722639,89.9999,89.9999,11.93529,0.00002287784
