# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,26.73,0,26.73,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,17499,2663.3,13.052,0.024794,0,160.48,0,0.0058681,348114,639.11,0,0.81325,0,0.5885,0.10474,0.12,0,0,0,0,0,0,0,0,0,10.3,83.323,90,0,0,15,1013.2,340.39,0.01,0.0053441,0
0.01,0.0013365,0.2673,97.917,0.2673,97.917,0,0,0,0,0,0,28.61,-80.6,9.7922,82.416,0,0,0,17499,2663.3,13.052,0.024794,0,160.48,0,0.0059501,352976,1884.8,9.13E-05,0.81145,0.0043629,0.5867,0.10474,0.12,0,0,0,0,0,0,0,0,3.42E-05,10.3,83.323,90,0,0,15,1013.2,340.39,0.01,0.0091333,8.75E-04
0.02,0.0089067,1.2468,108.21,1.2468,108.21,0,0,0,0,0,0,28.61,-80.6,9.7922,58.288,0,0,0,17493,2657.3,13.049,0.02479,0,160.46,0,0.0069682,413378,2064.3,0.006531,0.79147,0.22746,0.56672,0.10474,0.12001,0,0,0,0,0,0,0,0,1.60E-04,10.3,83.323,90,0,0,15,1013.2,340.39,0.01,0.011209,0.019042
0.03,0.026787,2.3294,102.07,2.3294,102.07,0,0,0,0,0,0,28.61,-80.6,9.7922,41.043,0,0,0,17485,2649.1,13.046,0.024784,0,160.43,0,0.0090734,538261,1956,0.028853,0.7603,0.59269,0.53554,0.10474,0.12001,0,0,0,0,0,0,0,0,2.98E-04,10.3,83.323,90,0,0,15,1013.2,340.39,0.01,0.013374,0.066469
0.04,0.055186,3.3506,102.39,3.3506,102.39,0,0,0,0,0,0,28.61,-80.6,9.7922,31.312,0,0,0,17475,2639.4,13.041,0.024778,0,160.39,0,0.011522,683495,1960.4,0.061831,0.73425,0.78771,0.50949,0.10474,0.12002,0,0,0,0,0,0,0,0,4.29E-04,10.3,83.323,90,0,0,15,1013.2,340.39,0.01,0.015601,0.13753
0.05,0.093814,4.375,102.7,4.375,102.7,0,0,0,0,0,0,28.61,-80.6,9.7922,25.089,0,0,0,17466,2629.9,13.037,0.024771,0,160.35,0,0.014192,841898,1964.8,0.10342,0.71306,0.86835,0.48828,0.10475,0.12003,0,0,0,0,0,0,0,0,5.60E-04,10.3,83.323,90,0,0,14.999,1013.2,340.39,0.01,0.017944,0.23447
0.06,0.1427,5.4024,103.01,5.4024,103.01,0,0,0,0,0,0,28.61,-80.6,9.7922,20.675,0,0,0,17456,2620.4,13.032,0.024764,0,160.32,0,0.016964,1006339,1969.2,0.15176,0.69595,0.89188,0.47116,0.10475,0.12004,0,0,0,0,0,0,0,0,6.92E-04,10.3,83.323,90,0,0,14.999,1013.2,340.39,0.01,0.020136,0.35753
0.07,0.20188,6.433,103.32,6.433,103.32,0,0,0,0,0,0,28.61,-80.6,9.7922,17.506,0,0,0,17447,2611,13.028,0.024758,0,160.28,0,0.019817,1175579,1973.6,0.20575,0.68177,0.88605,0.45696,0.10476,0.12005,0,0,0,0,0,0,0,0,8.24E-04,10.3,83.323,90,0,0,14.999,1013.2,340.39,0.01,0.022494,0.50694
0.08,0.27137,7.4667,103.63,7.4667,103.63,0,0,0,0,0,0,28.61,-80.6,9.7922,15.134,0,0,0,17437,2601.5,13.023,0.024751,0,160.25,0,0.022724,1348028,1978,0.26382,0.66982,0.86403,0.44499,0.10476,0.12007,0,0,0,0,0,0,0,0,9.56E-04,10.3,83.323,90,0,0,14.998,1013.2,340.39,0.01,0.024708,0.68294
0.09,0.35123,8.5035,103.94,8.5035,103.94,0,0,0,0,0,0,28.61,-80.6,9.7922,13.298,0,0,0,17428,2592.1,13.019,0.024744,0,160.21,0,0.02567,1522787,1982.5,0.32471,0.65957,0.83337,0.43471,0.10477,0.12009,0,0,0,0,0,0,0,0,0.0010887,10.3,83.323,90,0,0,14.998,1013.2,340.39,0.01,0.027112,0.88577
0.1,0.44146,9.5434,104.25,9.5434,104.25,0,0,0,0,0,0,28.61,-80.6,9.7922,11.837,0,0,0,17418,2582.6,13.014,0.024738,0,160.17,0,0.028646,1699316,1986.9,0.38951,0.65065,0.80277,0.42577,0.10478,0.12011,0,0,0,0,0,0,0,0,0.0012219,10.3,83.323,90,0,0,14.997,1013.2,340.39,0.01,0.029454,1.1157
0.11,0.54211,10.586,104.57,10.586,104.57,0,0,0,0,0,0,28.61,-80.6,9.7922,10.602,0,0,0,17409,2573.2,13.01,0.024731,0,160.14,0,0.031641,1876980,1991.2,0.45834,0.6428,0.77426,0.41789,0.10478,0.12013,0,0,0,0,0,0,0,0,0.0013554,10.3,83.323,90,0,0,14.996,1013.2,340.39,0.009446,0.031506,1.3728
0.11945,0.64677,11.575,104.86,11.575,104.86,0,0,0,0,0,0,28.61,-80.6,9.7922,9.6297,0,0,0,17400,2564,13.005,0.024725,0,160.1,0,0.03449,2045958,1995.2,0.52789,0.63618,0.75052,0.41124,0.10479,0.12015,0,0,0,0,0,0,0,0,0.001482,10.3,83.323,90,0,0,14.996,1013.2,340.39,0.0086396,0.033817,1.6411
0.12809,0.75069,12.481,105.12,12.481,105.12,0,0,0,0,0,0,28.61,-80.6,9.7922,8.8699,0,0,0,17391,2555.4,13.001,0.024719,0,160.07,0,0.03711,2201368,1998.9,0.59562,0.63069,0.73146,0.40571,0.1048,0.12018,0,0,0,0,0,0,0,0,0.001598,10.3,83.323,90,0,0,14.995,1013.2,340.39,0.0080123,0.036234,1.9081
0.1361,0.85406,13.323,105.36,13.323,105.36,0,0,0,0,0,0,28.61,-80.6,9.7922,8.254,0,0,0,17383,2547.6,12.997,0.024713,0,160.04,0,0.039552,2346152,2002.3,0.66208,0.626,0.71583,0.40099,0.10481,0.1202,0,0,0,0,0,0,0,0,0.0017058,10.3,83.323,90,0,0,14.994,1013.1,340.39,0.0075056,0.038627,2.1744
0.1436,0.95703,14.114,105.59,14.114,105.59,0,0,0,0,0,0,28.61,-80.6,9.7922,7.7413,0,0,0,17376,2540.2,12.994,0.024708,0,160.01,0,0.041847,2482309,2005.5,0.72763,0.62192,0.70275,0.39688,0.10482,0.12023,0,0,0,0,0,0,0,0,0.0018071,10.3,83.323,90,0,0,14.994,1013.1,340.39,0.007085,0.040711,2.4402
0.15069,1.0597,14.863,105.8,14.863,105.8,0,0,0,0,0,0.10684,28.61,-80.6,9.7922,7.3071,0,0,0,17369,2533.3,12.991,0.024703,172.43,159.99,1.2083,0.044022,2611283,2008.8,0.7925,0.61831,0.69166,0.39324,0.10483,0.12025,1.5908,1.9221,4.53E-04,0,0,0,0,0,0.0019029,10.3,83.323,90,0,0,14.993,1013.1,340.38,0.010627,0.043733,2.7058
0.16132,1.2236,15.988,105.96,15.988,105.96,-6.11E-06,0,6.11E-06,-180,0.0011579,0.11094,28.61,-80.6,9.7922,6.7432,0,0.011265,8.30E-07,17361,2524.8,12.987,0.024697,173.33,159.95,1.2992,0.047297,2805500,2010.7,0.89562,0.61329,0.67717,0.38816,0.10484,0.12029,1.4309,1.8586,1.81E-04,0,0,0,0,8.62E-07,0.002047,10.3,83.323,90,-0.0016372,0,14.992,1013.1,340.38,0.015941,0.046716,3.1309
0.17726,1.4919,17.678,106.16,17.678,106.16,-3.89E-05,0,3.89E-05,-180,0.0029719,0.11647,28.61,-80.6,9.7922,6.0287,0,0.030483,1.11E-06,17348,2511.8,12.98,0.024688,174.55,159.9,1.4225,0.052225,3097738,2013,1.0626,0.60653,0.65895,0.38131,0.10486,0.12035,1.2371,1.7594,2.67E-04,0,0,0,0,5.18E-06,0.0022634,10.3,83.323,90,-0.0027286,0,14.99,1013.1,340.38,0.023912,0.049769,3.8278
0.20117,1.945,20.22,106.46,20.22,106.46,-1.44E-04,0,1.44E-04,-180,0.0058426,0.12325,28.61,-80.6,9.7922,5.1784,0,0.064437,0,17328,2492.2,12.971,0.024674,176.13,159.83,1.5824,0.059646,3537803,2016.5,1.3409,0.59777,0.63755,0.37241,0.1049,0.12046,1.0193,1.6131,3.46E-04,0,0,0,0,1.77E-05,0.0025888,10.3,83.323,89.998,-0.0016634,0,14.987,1013,340.38,0.035868,0.052666,5.0073
0.23704,2.7388,24.045,106.92,24.045,106.92,-4.35E-04,0,4.35E-04,-180,0.01043,0.13156,28.61,-80.6,9.7922,4.2919,0,0.12689,-9.70E-06,17298,2462.7,12.957,0.024653,177.92,159.71,1.7678,0.07084,4201482,2021.5,1.8242,0.58693,0.61494,0.36132,0.10496,0.12065,0.80739,1.427,-8.70E-05,0,0,0,0,4.87E-05,0.0030786,10.3,83.323,89.995,0.0017127,0,14.982,1012.9,340.38,0.05,0.056627,7.0806
0.28704,4.075,29.403,107.55,29.403,107.55,-0.0011221,0,0.0011221,-180,0.017037,0.12926,28.61,-80.6,9.7922,3.3547,0,0.23607,-2.57E-05,17256,2420.4,12.936,0.024624,180.02,159.55,1.9876,0.086535,5131745,2027.4,2.6226,0.57505,0.59255,0.349,0.10507,0.12097,0.60006,1.193,4.54E-04,0,0,0,0,1.13E-04,0.0037647,10.3,83.323,89.986,0.0040826,0,14.974,1012.8,340.37,0.05,0.06,10.587
0.33704,5.6799,34.793,108.17,34.793,108.17,-0.0021308,0,0.0021308,-180,0.023186,0.11461,28.61,-80.6,9.7922,2.7305,0,0.36852,-5.97E-05,17207,2371.1,12.912,0.024589,181.55,159.36,2.1549,0.10234,6068255,2033.3,3.5738,0.5657,0.57742,0.33913,0.10521,0.12136,0.4716,1.0161,-4.76E-04,0,0,0,0,1.97E-04,0.0044548,10.3,83.323,89.971,0.0067206,0,14.963,1012.6,340.37,0.05,0.062785,14.822
0.38704,7.555,40.214,108.78,40.214,108.78,-0.0034228,1.24E-08,0.0034228,180,0.028238,0.083797,28.61,-80.6,9.7922,2.2767,0,0.524,-5.56E-05,17158,2321.9,12.888,0.024554,182.74,159.16,2.2891,0.11825,7010372,2039.2,4.6784,0.5581,0.56631,0.33092,0.10536,0.12182,0.38304,0.87632,-4.05E-04,0,0,0,0,2.98E-04,0.0051488,10.3,83.323,89.949,0.0066703,0,14.951,1012.4,340.36,0.05,0.065094,19.797
0.43704,9.7019,45.666,109.39,45.666,109.39,-0.0049229,5.28E-08,0.0049229,180,0.031418,0.041426,28.61,-80.6,9.7921,1.9952,0,0.70285,-8.47E-05,17108,2272.6,12.864,0.02452,183.52,158.97,2.3834,0.13426,7958096,2045,5.9818,0.55548,0.56183,0.32759,0.10555,0.12234,0.33017,0.78692,-2.30E-04,0,0,0,0,4.16E-04,0.0058468,10.3,83.323,89.918,0.0064124,0,14.937,1012.1,340.35,0.05,0.067769,25.523
0.48704,12.122,51.148,109.99,51.148,109.99,-0.0065216,1.37E-07,0.0065216,180,0.031982,0.02471,28.61,-80.6,9.7921,1.7509,0,0.90825,-9.23E-05,17059,2223.3,12.84,0.024485,184.22,158.77,2.4702,0.15036,8910677,2050.9,7.4906,0.55613,0.56108,0.32744,0.10575,0.12294,0.28557,0.70441,-3.19E-04,0,0,0,0,5.54E-04,0.0065487,10.3,83.323,89.878,0.0064433,0,14.921,1011.8,340.34,0.05,0.070732,32.011
0.53704,14.817,56.659,110.58,56.659,110.58,-0.0080574,2.87E-07,0.0080574,180,0.028787,0.10519,28.61,-80.6,9.7921,1.6108,0,1.1399,-1.63E-05,17010,2174,12.815,0.02445,184.63,158.58,2.5299,0.16656,9868389,2056.8,9.1887,0.55686,0.56107,0.32727,0.10598,0.12361,0.26055,0.65862,1.61E-04,0,0,0,0,7.12E-04,0.0072544,10.3,83.323,89.827,0.0054095,0,14.904,1011.5,340.33,0.05,0.073981,39.272
0.58704,17.789,62.2,111.17,62.2,111.17,-0.0093148,5.22E-07,0.0093148,180,0.020313,0.24971,28.61,-80.6,9.7921,1.3058,0,1.3939,-1.56E-04,16960,2124.8,12.791,0.024416,185.55,158.38,2.6382,0.18284,1.08E+07,2062.6,11.056,0.55767,0.56048,0.32709,0.10624,0.12435,0.20732,0.54653,-4.78E-04,0,0,0,0,8.83E-04,0.0079638,10.3,83.323,89.764,0.004703,0,14.884,1011.2,340.32,0.05,0.077489,47.316
0.63704,21.038,67.771,111.75,67.771,111.75,-0.0099498,8.63E-07,0.0099498,180,0.0037518,0.41213,28.61,-80.6,9.7921,1.1116,0,1.644,-1.23E-04,16911,2075.5,12.766,0.024381,186.16,158.18,2.7169,0.19921,11796029,2068.5,13.123,0.55855,0.56061,0.32688,0.10652,0.12516,0.17441,0.4733,-4.81E-04,0,0,0,0,0.0010351,0.008677,10.3,83.323,89.688,0.0045994,0,14.863,1010.8,340.31,0.05,0.080818,56.153
0.68704,24.566,73.369,112.32,73.369,112.32,-0.0095421,1.34E-06,0.0095421,179.99,0.021799,0.62318,28.61,-80.6,9.7921,0.88087,0,1.8975,-1.23E-04,16862,2026.2,12.741,0.024346,186.9,157.98,2.8085,0.21566,12766400,2074.4,15.38,0.55952,0.56083,0.32666,0.10682,0.12605,0.13623,0.38144,3.27E-04,0,0,0,0,0.0011767,0.0093938,10.3,83.323,89.599,0.0041926,0,14.84,1010.4,340.29,0.05,0.083239,65.792
0.73704,28.376,78.996,112.87,78.996,112.88,-0.0075779,1.99E-06,0.0075779,179.98,0.058641,0.85096,28.61,-80.6,9.7921,0.73484,0,2.1356,-1.40E-04,16813,1976.9,12.716,0.024312,187.4,157.78,2.8757,0.23221,13741319,2080.2,17.844,0.56058,0.56149,0.32641,0.10715,0.12701,0.11263,0.32305,1.30E-04,0,0,0,0,0.0012858,0.010114,10.3,83.323,89.498,0.0040422,0,14.816,1009.9,340.28,0.05,0.085203,76.244
0.78704,32.467,84.651,113.42,84.651,113.43,-0.0034783,2.86E-06,0.0034783,179.95,0.1075,1.113,28.61,-80.6,9.7921,0.59659,0,2.37,-3.65E-04,16763,1927.7,12.691,0.024277,187.87,157.57,2.9417,0.24884,1.47E+07,2086.1,20.512,0.56171,0.56232,0.32615,0.10751,0.12805,0.090658,0.2651,1.30E-04,0,0,0,0,0.0013791,0.010838,10.3,83.323,89.386,0.0039443,0,14.789,1009.4,340.26,0.05,0.087416,87.517
0.83704,36.841,90.333,113.96,90.333,113.97,0.0034162,3.99E-06,0.0034162,0.066991,0.17095,1.4387,28.61,-80.6,9.7921,0.38674,0,2.572,-4.72E-04,16714,1878.4,12.666,0.024243,188.6,157.37,3.0322,0.26555,15702644,2092,23.383,0.56294,0.56319,0.32587,0.1079,0.12917,0.057992,0.17461,7.53E-05,0,0,0,0,0.0014264,0.011566,10.3,83.323,89.262,0.0041319,0,14.761,1008.9,340.24,0.05,0.089782,99.619
0.88704,41.501,96.042,114.49,96.042,114.51,0.013901,5.49E-06,0.013901,0.02263,0.25112,1.7651,28.61,-80.6,9.792,0.26493,0,2.7184,-6.55E-04,16665,1829.1,12.641,0.024208,189.05,157.16,3.0953,0.28234,16689162,2097.9,26.475,0.56424,0.56437,0.32557,0.10831,0.13036,0.039426,0.12079,-3.59E-04,0,0,0,0,0.0014097,0.012297,10.3,83.323,89.129,0.0042305,0,14.73,1008.4,340.23,0.05,0.091718,112.56
0.93704,46.446,101.78,115.01,101.78,115.03,0.028805,7.41E-06,0.028805,0.014741,0.34787,2.1131,28.61,-80.6,9.792,0.15544,0,2.8313,-0.0014744,16616,1779.8,12.615,0.024173,189.46,156.96,3.1551,0.29922,17679261,2103.7,29.788,0.56564,0.56568,0.32524,0.10876,0.13164,0.022976,0.071009,2.28E-04,0,0,0,0,0.0013617,0.013031,10.3,83.323,88.991,0.0045186,0,14.698,1007.8,340.21,0.05,0.09406,126.34
0.98704,51.679,107.54,115.51,107.54,115.54,0.049002,9.90E-06,0.049002,0.011575,0.46333,2.5181,28.61,-80.6,9.792,0.021154,0,-2.8734,-0.0091546,16566,1730.5,12.589,0.024139,189.96,156.75,3.2244,0.31618,18672252,2109.6,33.323,0.56712,0.56713,0.3249,0.10923,0.133,0.0031004,0.011201,3.00E-05,0,0,0,0,-0.0012562,0.013769,10.3,83.323,88.848,0.0050017,0,14.664,1007.2,340.19,0.05,0.096289,140.98
1.037,57.2,113.32,116.01,113.32,116.04,0.075483,1.31E-05,0.075483,0.00996,0.59901,2.9014,28.61,-80.6,9.792,0.12373,0,-2.8139,-0.0013966,16517,1681.3,12.563,0.024104,189.63,156.54,3.2127,0.33321,19668826,2115.5,37.091,0.5687,0.56873,0.32454,0.10973,0.13443,0.018273,0.059422,4.38E-04,0,0,0,0,-0.0010849,0.01451,10.3,83.323,88.705,0.0053043,0,14.628,1006.5,340.16,0.05,0.09837,156.48
1.087,63.012,119.13,116.36,119.13,116.4,0.10922,1.72E-05,0.10922,0.009029,0.75375,3.2938,28.61,-80.6,9.792,0.23634,0,-2.6765,-9.77E-04,16468,1632,12.538,0.024069,189.27,156.33,3.1983,0.35032,20668248,2119.2,41.095,0.57036,0.57046,0.32416,0.11025,0.13595,0.035191,0.11384,1.25E-04,0,0,0,0,-8.88E-04,0.015254,10.3,83.323,88.567,0.0052921,0,14.59,1005.9,340.14,0.05,0.10146,172.85
1.137,69.114,124.96,115.98,124.96,116.04,0.15119,2.23E-05,0.15119,0.0084512,0.92782,3.6385,28.61,-80.6,9.792,0.31464,0,-2.4353,-5.41E-04,16418,1582.6,12.511,0.024035,189.04,156.12,3.1963,0.36749,2.17E+07,2111.1,45.334,0.57212,0.57229,0.32375,0.11081,0.13756,0.047128,0.15154,3.82E-04,0,0,0,0,-6.68E-04,0.016,10.3,83.323,88.439,0.0048319,0,14.551,1005.1,340.12,0.05,0.10404,190.06
1.187,75.507,130.77,115.47,130.77,115.54,0.20228,2.84E-05,0.20228,0.0080463,1.119,3.9882,28.61,-80.6,9.7919,0.42848,0,-2.0882,-6.61E-04,16369,1532.9,12.485,0.024,188.69,155.9,3.1834,0.3846,22665614,2101.3,49.788,0.57395,0.57427,0.32333,0.11139,0.13923,0.064712,0.20661,-4.53E-04,0,0,0,0,-4.49E-04,0.016744,10.3,83.323,88.325,0.0042216,0,14.509,1004.4,340.09,0.05,0.10609,208.02
