# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.393,0,25.393,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0,0,639.11,0,1.8216,1.8216,1.5969,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,90,0,NaN,38.765,999.33,354.79,0.01,0.010041,0
0.01,0.0012697,0.25393,93.966,0.25393,93.966,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,7.16E-04,37844,1884.8,3.78E-04,1.2594,1.2594,1.0347,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25E-05,10.3,83.323,90,0,NaN,38.765,999.33,354.79,0.01,0.019149,7.20E-04
0.02,0.0085085,1.1939,103.88,1.1939,103.88,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.003365,177923,2064.3,0.0060418,0.91159,0.91159,0.68685,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53E-04,10.3,83.323,90,0,NaN,38.765,999.33,354.79,0.01,0.021784,0.015909
0.03,0.025643,2.2331,97.966,2.2331,97.966,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.0062943,332804,1956,0.018995,0.81916,0.81916,0.59441,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.86E-04,10.3,83.323,90,0,NaN,38.765,999.33,354.79,0.01,0.024624,0.055661
0.04,0.052875,3.2133,98.267,3.2133,98.267,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.0090569,478873,1960.4,0.03715,0.77378,0.77378,0.54902,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.11E-04,10.3,83.323,90,0,NaN,38.764,999.33,354.79,0.01,0.027255,0.11524
0.05,0.089923,4.1964,98.565,4.1964,98.565,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.011828,625388,1964.8,0.060899,0.74372,0.74372,0.51895,0.10475,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.37E-04,10.3,83.323,90,0,NaN,38.764,999.33,354.79,0.01,0.032021,0.19655
0.06,0.13682,5.1825,98.864,5.1825,98.864,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.014607,772347,1969.2,0.090129,0.72167,0.72167,0.49689,0.10475,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64E-04,10.3,83.323,90,0,NaN,38.764,999.33,354.79,0.01,0.036342,0.29978
0.07,0.19359,6.1716,99.163,6.1716,99.163,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.017395,919751,1973.6,0.12477,0.70447,0.70447,0.47968,0.10475,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90E-04,10.3,83.323,90,0,NaN,38.764,999.32,354.79,0.01,0.049095,0.42512
0.08,0.26026,7.1637,99.462,7.1637,99.462,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.020191,1067599,1978,0.16477,0.69049,0.69049,0.46568,0.10476,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.17E-04,10.3,83.323,90,0,NaN,38.763,999.32,354.79,0.01,0.05171,0.57278
0.09,0.33688,8.1588,99.76,8.1588,99.76,0,0,0,0,0,0,28.61,-80.6,9.7884,0,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.022996,1215892,1982.5,0.2101,0.6788,0.6788,0.45397,0.10476,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010446,10.3,83.323,90,0,NaN,38.763,999.31,354.79,0.01,0.054383,0.74296
