# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,2.7398
2e-3,0,0,11.385
4e-3,2.2772e-5,0.022772,25.512
6e-3,1.1934e-4,0.0738,39.641
8e-3,3.4623e-4,0.15309,53.771
0.01,7.5995e-4,0.26063,67.903
0.012,0.001417,0.39645,82.037
0.014,0.002374,0.56053,96.172
0.016,0.0036874,0.75289,110.31
0.018,0.0054138,0.97352,115.46
0.02,0.0075918,1.2045,111.62
0.022,0.010224,1.4277,107.79
0.024,0.013295,1.6433,103.95
0.026,0.01679,1.8513,100.12
# Event LIFTOFF occurred at t=0.028 seconds
0.028,0.020692,2.0515,98.231
0.03,0.024992,2.248,98.291
0.032,0.029684,2.4446,98.351
0.034,0.03477,2.6413,98.411
0.036,0.04025,2.8381,98.471
0.038,0.046123,3.0351,98.531
0.04,0.05239,3.2322,98.591
0.042,0.059052,3.4294,98.65
0.044,0.066108,3.6267,98.71
0.046,0.073559,3.8241,98.77
0.048,0.081405,4.0217,98.83
0.05,0.089646,4.2194,98.89
0.052,0.098282,4.4172,98.95
0.054,0.10731,4.6151,99.01
0.056,0.11674,4.8131,99.07
0.058,0.12657,5.0113,99.13
0.06,0.13679,5.2096,99.19
0.062,0.14741,5.408,99.25
0.064,0.15842,5.6065,99.31
0.066,0.16983,5.8051,99.369
0.068,0.18164,6.0039,99.429
0.07,0.19385,6.2028,99.489
0.072,0.20645,6.4018,99.549
0.074,0.21945,6.6009,99.609
0.076,0.23286,6.8001,99.669
0.078,0.24666,6.9995,99.729
0.08,0.26085,7.199,99.789
0.082,0.27545,7.3985,99.849
0.084,0.29045,7.5983,99.909
0.086,0.30584,7.7981,99.969
0.088,0.32164,7.9981,100.03
0.09,0.33784,8.1981,100.09
0.092,0.35443,8.3983,100.15
0.094,0.37143,8.5986,100.21
0.096,0.38883,8.7991,100.27
0.098,0.40663,8.9996,100.33
0.1,0.42483,9.2003,100.39
0.102,0.44343,9.4011,100.45
0.104,0.46243,9.602,100.51
0.106,0.48184,9.8031,100.57
0.108,0.50164,10.004,100.63
0.11,0.52185,10.206,100.69
0.112,0.54247,10.407,100.75
0.114,0.56348,10.608,100.81
0.116,0.5849,10.81,100.87
0.118,0.60672,11.012,100.93
0.12,0.62895,11.214,100.99
0.122,0.65158,11.416,101.05
0.124,0.67461,11.618,101.11
0.126,0.69805,11.82,101.17
0.128,0.72189,12.022,101.23
0.13,0.74614,12.225,101.29
0.132,0.77079,12.427,101.35
0.134,0.79585,12.63,101.41
0.136,0.82131,12.833,101.47
0.138,0.84718,13.036,101.53
0.14,0.87345,13.239,101.59
0.142,0.90014,13.442,101.65
0.144,0.92722,13.646,101.71
0.146,0.95472,13.849,101.77
0.148,0.98262,14.053,101.83
0.15,1.0109,14.256,101.89
0.152,1.0396,14.46,101.95
0.154,1.0688,14.664,102
0.156,1.0983,14.868,102.03
0.158,1.1282,15.072,102.06
0.16,1.1586,15.276,102.08
0.162,1.1893,15.48,102.11
0.164,1.2205,15.685,102.13
0.166,1.2521,15.889,102.16
0.168,1.2841,16.093,102.18
0.17,1.3165,16.298,102.2
0.172,1.3493,16.502,102.23
0.174,1.3825,16.707,102.25
0.176,1.4161,16.911,102.28
0.178,1.4501,17.116,102.3
0.18,1.4845,17.32,102.33
0.182,1.5194,17.525,102.35
0.184,1.5546,17.73,102.37
0.186,1.5903,17.934,102.4
0.188,1.6264,18.139,102.42
0.19,1.6629,18.344,102.45
0.192,1.6998,18.549,102.47
0.194,1.7371,18.754,102.5
0.196,1.7748,18.959,102.52
0.198,1.8129,19.164,102.54
0.2,1.8514,19.369,102.57
0.202,1.8904,19.574,102.59
0.204,1.9297,19.78,102.62
0.206,1.9695,19.985,102.64
0.208,2.0097,20.19,102.67
0.21,2.0503,20.395,102.69
0.212,2.0912,20.601,102.71
0.214,2.1327,20.806,102.74
0.216,2.1745,21.012,102.76
0.218,2.2167,21.217,102.79
0.22,2.2593,21.423,102.81
0.222,2.3024,21.629,102.84
0.224,2.3459,21.834,102.86
0.226,2.3897,22.04,102.88
0.228,2.434,22.246,102.91
0.23,2.4787,22.452,102.93
0.232,2.5238,22.657,102.96
0.234,2.5693,22.863,102.98
0.236,2.6153,23.069,103.01
0.238,2.6616,23.275,103.03
0.24,2.7084,23.482,103.05
0.242,2.7555,23.688,103.08
0.244,2.8031,23.894,103.1
0.246,2.8511,24.1,103.13
0.248,2.8995,24.306,103.15
0.25,2.9484,24.513,103.18
0.252,2.9976,24.719,103.2
0.254,3.0472,24.925,103.22
0.256,3.0973,25.132,103.25
0.258,3.1478,25.338,103.27
0.26,3.1986,25.545,103.3
0.262,3.2499,25.752,103.32
0.264,3.3016,25.958,103.34
0.266,3.3538,26.165,103.37
0.268,3.4063,26.372,103.39
0.27,3.4593,26.579,103.42
0.272,3.5126,26.785,103.44
0.274,3.5664,26.992,103.46
0.276,3.6206,27.199,103.49
0.278,3.6752,27.406,103.51
0.28,3.7302,27.613,103.54
0.282,3.7856,27.82,103.56
0.284,3.8415,28.027,103.59
0.286,3.8978,28.235,103.61
0.288,3.9544,28.442,103.63
0.29,4.0115,28.649,103.66
0.292,4.069,28.857,103.68
0.294,4.1269,29.064,103.71
0.296,4.1853,29.271,103.73
0.298,4.244,29.479,103.75
0.3,4.3032,29.686,103.78
0.302,4.3628,29.894,103.8
0.304,4.4228,30.102,103.83
0.306,4.4832,30.309,103.85
0.308,4.544,30.517,103.87
0.31,4.6053,30.725,103.9
0.312,4.6669,30.933,103.92
0.314,4.729,31.14,103.95
0.316,4.7915,31.348,103.97
0.318,4.8544,31.556,103.99
0.32,4.9177,31.764,104.02
0.322,4.9814,31.972,104.04
0.324,5.0456,32.18,104.06
0.326,5.1102,32.389,104.09
0.328,5.1751,32.597,104.11
0.33,5.2405,32.805,104.14
0.332,5.3064,33.013,104.16
0.334,5.3726,33.222,104.18
