Time ,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number ,Altitude Feet,Range Feet,Cd ,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient ,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient ,Damping moment coefficient ,Nat. Freq. at zero roll rate rad/s,Damping Ratio ,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio ,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.604498, 0.000000, 0.000000, 0.000000,451792.274887,6621.795086,89.999999, 0.000000, 0.000000,62.440000,640.892616,74.707000, 8.337250, 3.025236, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84991.333493,96.775000, 0.957774, 0.000019, 0.000212,1109.272000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013750
 0.013750,1757.547917,-0.000000,1757.547917,317.498000, 0.000000,317.498000,285.423000, 0.000000,285.423000, 1.944000, 0.000000, 1.944000, 0.001752, 0.010000, 0.000000, 0.604498, 0.000564, 0.000000,-0.000564,451623.819821,6611.630919,89.999999,89.999999, 0.000000,62.428000,640.626338,74.707000, 8.337250, 3.027987, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84991.312922,96.775000, 0.957774, 0.000019, 0.000212,1109.272000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027500
 0.027500,1970.256500,-0.000000,1970.256500,356.157000, 0.000000,356.157000,324.082000, 0.000000,324.082000, 6.746000, 0.000000, 6.746000, 0.006081, 0.073000, 0.000000, 0.604498, 0.009009, 0.000000,-0.009009,451356.199398,6595.506195,89.999999,89.999999, 0.000000,62.411000,640.203909,74.707000, 8.337250, 3.032355, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84991.150347,96.774000, 0.957772, 0.000019, 0.000212,1109.271000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.041250
 0.041250,1958.715039,-0.000000,1958.715039,354.322000, 0.000000,354.322000,322.247000, 0.000000,322.247000,11.168000, 0.000000,11.168000, 0.010068, 0.199000, 0.000000, 0.604498, 0.025971, 0.000000,-0.025971,451064.410833,6577.957154,89.999999,89.999999, 0.000000,62.391000,639.744165,74.707000, 8.337250, 3.037115, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84990.807067,96.774000, 0.957769, 0.000019, 0.000212,1109.271000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.055000
 0.055000,1964.791024,-0.000000,1964.791024,355.672000, 0.000000,355.672000,323.596000, 0.000000,323.596000,15.609000, 0.000000,15.609000, 0.014072, 0.385000, 0.000000, 0.604498, 0.051806, 0.000000,-0.051806,450772.851165,6560.454990,89.999999,89.999999, 0.000000,62.372000,639.285650,74.707000, 8.337250, 3.041869, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84990.290049,96.773000, 0.957764, 0.000019, 0.000212,1109.270000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068750
 0.068750,1970.867008,-0.000000,1970.867008,357.021000, 0.000000,357.021000,324.946000, 0.000000,324.946000,20.069000, 0.000000,20.069000, 0.018092, 0.634000, 0.000000, 0.604499, 0.086636, 0.000000,-0.086636,450480.740173,6542.952826,89.999999,89.999999, 0.000000,62.353000,638.827135,74.707000, 8.337250, 3.046630, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84989.598565,96.773000, 0.957758, 0.000019, 0.000212,1109.269000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.082500
 0.082500,1976.942992,-0.000000,1976.942992,358.371000, 0.000000,358.371000,326.296000, 0.000000,326.296000,24.547000, 0.000000,24.547000, 0.022129, 0.943000, 0.000000, 0.604500, 0.130573, 0.000000,-0.130573,450188.076330,6525.450662,89.999999,89.999999, 0.000000,62.333000,638.368619,74.707000, 8.337250, 3.051398, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84988.731892,96.771000, 0.957750, 0.000019, 0.000212,1109.268000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.096250
 0.096250,1983.018976,-0.000000,1983.018976,359.722000, 0.000000,359.722000,327.646000, 0.000000,327.646000,29.044000, 0.000000,29.044000, 0.026183, 1.314000, 0.000000, 0.604500, 0.183727, 0.000000,-0.183727,449894.858102,6507.948498,89.999999,89.999999, 0.000000,62.314000,637.910104,74.707000, 8.337250, 3.056173, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84987.689306,96.770000, 0.957741, 0.000019, 0.000212,1109.267000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110000
 0.110000,1989.094961,-0.000000,1989.094961,361.072000, 0.000000,361.072000,328.996000, 0.000000,328.996000,33.559000, 0.000000,33.559000, 0.030253, 1.747000, 0.000000, 0.604501, 0.246211, 0.000000,-0.246211,449601.083950,6490.446334,89.999999,89.999999, 0.000000,62.295000,637.451588,74.707000, 8.337250, 3.060955, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84986.470086,96.769000, 0.957729, 0.000019, 0.000212,1109.266000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.123750
 0.123750,1995.170945,-0.000000,1995.170945,362.423000, 0.000000,362.423000,330.347000, 0.000000,330.347000,38.093000, 0.000000,38.093000, 0.034341, 2.243000, 0.000000, 0.604502, 0.318137, 0.000000,-0.318137,449306.752329,6472.944170,89.999999,89.999999, 0.000000,62.275000,636.993073,74.707000, 8.337250, 3.065744, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-2.553965,32.076000,84985.073508,96.767000, 0.957717, 0.000019, 0.000212,1109.264000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.137500
