# Time (s),Thrust (N)
0,200
0.01,600
0.02,912.5
0.03,1137.5
0.04,1387.5
0.05,1662.5
0.06,1950
0.07,2250
0.08,2375.7
0.09,2327.1
0.1,2278.6
0.11,2230
0.12,2181.4
0.13,2132.9
0.14,2084.3
0.15,2054
0.16,2042
0.17,2030
0.18,2018
0.19,2006
0.2,2003.3
0.21,2010
0.22,2016.7
0.23,2023.3
0.24,2030
0.25,2036.7
0.26,2043.3
0.27,2050
0.28,2056.7
0.29,2063.3
0.3,2070
0.31,2076.7
0.32,2083.3
0.33,2090
0.34,2096.7
0.35,2096
0.36,2088
0.37,2080
0.38,2070
0.39,2055
0.4,2032.5
0.41,1999
0.42,1959
0.43,1933
0.44,1919.7
0.45,1906.3
0.46,1898.2
0.47,1894.7
0.48,1891.2
0.49,1887.7
0.5,1884.2
0.51,1880.7
0.52,1877.2
0.53,1873.7
0.54,1870.2
0.55,1866.7
0.56,1863.2
0.57,1859.7
0.58,1856.2
0.59,1852.7
0.6,1849.2
0.61,1845.7
0.62,1842.2
0.63,1838.7
0.64,1835.2
0.65,1831.7
0.66,1826.4
0.67,1819.5
0.68,1812.6
0.69,1805.8
0.7,1798.9
0.71,1792
0.72,1785.1
0.73,1778.3
0.74,1771.4
0.75,1764.5
0.76,1757.6
0.77,1750.8
0.78,1743.9
0.79,1737
0.8,1730.1
0.81,1723.3
0.82,1714.9
0.83,1705.3
0.84,1695.6
0.85,1686
0.86,1676.3
0.87,1666.6
0.88,1657
0.89,1647.3
0.9,1637.7
0.91,1628
0.92,1618.3
0.93,1608.7
0.94,1599
0.95,1589.4
0.96,1579.7
0.97,1570
0.98,1560.4
0.99,1542.9
1,1460.6
1.01,1363.9
1.02,1267.3
1.03,1170.6
1.04,1073.9
1.05,977.25
1.06,880.58
1.07,783.92
1.08,692
1.09,639.19
1.1,595.07
1.11,550.95
1.12,502.18
1.13,449.18
1.14,396.18
1.15,343.18
1.16,290.18
1.17,237.18
1.18,184.18
1.19,131.18
1.2,78.175
1.21,25.192
